,AgencySystem_Name,SiteSystem_Name,Agency_Id,Site_Id,Site_AgencyId,Site_Status,site_lat,site_long,site_zip_lat,site_zip_long,site_address
10,BAY HARBOR OF SUAMICO,BAY HARBOR OF SUAMICO,10,429.0,10.0,active,44.628185,-88.028355,44.63445,-88.03033,"3136 LONGVIEW LANE SUAMICO WI, 54173"
11,CROSSROADS CARE CENTER,CROSSROADS CARE CENTER WEST,11,34988.0,11.0,active,44.5334956,-88.0676682,44.542973,-88.05582,"1760 SHAWANO AVENUE GREEN BAY WI, 54303"
12,ZZZMANOR CARE WEST,ZZZMANOR CARE WEST,12,431.0,12.0,active,44.53304083,-88.06864775,44.542973,-88.05582,"1760 Shawano Avenue Green Bay WI, 54303"
13,MARLA VISTA ASSISTED LIVING AND THE GARDENS OF MARLA VISTA,MARLA VISTA ASSISTED LIVING AND THE GARDENS OF MARLA VISTA,13,432.0,13.0,active,44.5402457,-88.0514374,44.542973,-88.05582,"1006 NORTH MILITARY AVENUE GREEN BAY WI, 54303"
14,MARQUETTE MANOR,MARQUETTE MANOR,14,433.0,14.0,active,44.5447213,-88.0594581,44.542973,-88.05582,"1200 NORTH TAYLOR STREET Apartment 216  GREEN BAY WI, 54303"
15,ZZZMARRIAGE & FAMILY THERAPY CENTER,ZZINACTIVE MARRIAGE & FAMILY THERAPY CENTER,15,434.0,15.0,active,44.51454622,-88.01698069,44.483376,-88.02269,"130 East Walnut Street SUITE 603 Green Bay WI, 54301"
16,ZZZ INACTIVE AMERICAN CANCER SOCIETY- GREEN BAY,ZZZ INACTIVE AMERICAN CANCER SOCIETY- GREEN BAY,16,435.0,16.0,active,44.4851903,-88.0296595,44.483376,-88.02269,"2100 RIVERSIDE DRIVE STE 201 GREEN BAY WI, 54301"
17,ZZINACTIVE MARSHFIELD CLINIC MEMORY DISORDER CLINIC,ZZINACTIVE MARSHFIELD CLINIC MEMORY DISORDER CLINIC,17,436.0,17.0,active,44.67624577,-90.17678674,44.639057,-90.18815,"1000 North Oak Avenue Marshfield WI, 54449"
18,MASON MANOR,MASON MANOR,18,437.0,18.0,active,44.5222541,-88.0571933,44.542973,-88.05582,"1424 ADMIRAL CT GREEN BAY WI, 54303"
19,MCCORMICK ASSISTED LIVING,MCCORMICK ASSISTED LIVING,19,438.0,19.0,active,44.4769577,-88.0305767,44.483376,-88.02269,"212 IROQUOIS AVENUE GREEN BAY WI, 54301"
20,MEADOWS NORTH,MEADOWS NORTH,20,439.0,20.0,active,44.510725,-87.97018,44.505505,-87.96799,"2060 VAN DEUREN ST GREEN BAY WI, 54302"
21,ZZINACTIVE MEDI VANS,ZZINACTIVE MEDI VANS,21,440.0,21.0,active,44.48507875,-87.99345938,44.505505,-87.96799,"1846 Industrial Drive Green Bay WI, 54302"
22,ZZINACTIVE MEDICARE HELPLINE,ZZINACTIVE MEDICARE HELPLINE,22,441.0,22.0,active,39.31287793,-76.75441675,39.33348,-76.78445,"7500 Secuirty Boulevard Baltimore MD, 21244"
23,MIRMAR APARTMENTS,MIRMAR APARTMENTS,23,442.0,23.0,active,44.5137459,-87.9952517,44.505505,-87.96799,"1240 UNIVERSITY AVENUE GREEN BAY WI, 54302"
24,MONROE PLAZA,MONROE PLAZA APARTMENTS,24,443.0,24.0,active,44.5152184,-88.0083781,44.483376,-88.02269,"400 NORTH MONROE AVENUE GREEN BAY WI, 54301"
25,MORAINE RIDGE SENIOR LIVING,MORAINE RIDGE SENIOR LIVING,25,444.0,25.0,active,44.52019184,-87.93743933,44.519512,-87.90283,"2929 St Anthony Drive Green Bay WI, 54311"
26,ZZZ INACTIVE AMERICAN STROKE ASSOCIATION,ZZZ INACTIVE AMERICAN STROKE ASSOCIATION,26,445.0,26.0,active,43.05723832,-89.29518794,43.10802,-89.26928,"2850 Dairy Drive Suite 300 Madison WI, 53718"
27,ZVLINACTIVE MULTICULTURAL CENTER OF GREATER GREEN BAY,ZVLINACTIVE MULTICULTURAL CENTER OF GREATER GREEN BAY,27,446.0,27.0,active,44.51078662,-88.0134272,44.483376,-88.02269,"230 South Madison Street Green Bay WI, 54301"
28,ZZZ NORTH EAST WISCONSIN AREA OF NARCOTICS ANONYMOUS (NEWNA),ZZZ NORTH EAST WISCONSIN AREA OF NARCOTICS ANONYMOUS (NEWNA),28,447.0,28.0,active,44.52074525,-87.98543188,44.5195,-88.0199,"PO Box 10035 Green Bay WI, 54307"
29,NAMI BROWN COUNTY,NAMI BROWN COUNTY RESOURCE CENTER,29,449.0,29.0,active,44.5112217,-88.0044736,44.483376,-88.02269,"932 CHERRY ST GREEN BAY WI, 54301"
30,NAMI BROWN COUNTY,FAMILY SERVICES OF NORTHEAST WISCONSIN,29,37850.0,29.0,active,44.5098578,-88.0171229,44.483376,-88.02269,"300 Crooks Street Green Bay WI, 54301"
31,ZZZ INACTIVE NATIONAL ASSOCIATION FOR CONTINENCE,ZZZ INACTIVE NATIONAL ASSOCIATION FOR CONTINENCE,30,455.0,30.0,active,32.81322839,-79.96346565,32.7765,-79.9312,"PO Box 1019 Charleston SC, 29402"
32,NATIONAL CENTER ON ELDER ABUSE,NATIONAL CENTER ON ELDER ABUSE,31,456.0,31.0,active,34.0819066,-118.149986,34.075573,-118.143974,"1000 SOUTH FREMONT AVENUE Unit 22, Building A-6 ALHAMBRA CA, 91803"
33,NEW COMMUNITY CLINIC,NEW COMMUNITY CLINIC,32,457.0,32.0,active,44.5148169,-88.0072879,44.483376,-88.02269,"622 BODART ST GREEN BAY WI, 54301"
34,NEW COMMUNITY CLINIC,NEW DENTAL CLINIC AT NWTC,32,458.0,32.0,active,44.5273237,-88.1073138,44.542973,-88.05582,"2740 W MASON ST GREEN BAY WI, 54303"
35,NEW COMMUNITY CLINIC,OUTREACH HEALTH CARE/HOMELESS,32,459.0,32.0,active,44.5268372,-88.0251509,44.542973,-88.05582,"879 MATHER ST GREEN BAY WI, 54303"
36,NEW COMMUNITY CLINIC,NEW MEDICAL CLINIC AT NWTC,32,461.0,32.0,active,44.5273237,-88.1073138,44.542973,-88.05582,"2740 W MASON ST GREEN BAY WI, 54303"
37,NEW COMMUNITY CLINIC,WIC EAST ,32,462.0,32.0,active,44.5148169,-88.0072879,44.483376,-88.02269,"622 BODART ST GREEN BAY WI, 54301"
38,NEW COMMUNITY CLINIC,WIC-WEST,32,463.0,32.0,active,44.5108778,-88.0252675,44.542973,-88.05582,"610 S BROADWAY GREEN BAY WI, 54303"
39,NEW COMMUNITY CLINIC,ZZZ INACTIVE SEXUALLY TRANSMITTED DISEASE TESTING,32,464.0,32.0,active,44.51503229,-88.00819025,44.483376,-88.02269,"622 Bodart Street Green Bay WI, 54301"
40,NEW COMMUNITY CLINIC,ZZZ INACTIVE PEDIATRIC CHILD CARE,32,465.0,32.0,active,44.51267389,-87.9941377,44.483376,-88.02269,"1309 Elm Street Green Bay WI, 54301"
41,NEW COMMUNITY CLINIC,NEW EAST DENTAL CLINIC,32,32545.0,32.0,active,44.5080358,-88.0139117,44.483376,-88.02269,"424 S MONROE AVE GREEN BAY WI, 54301"
42,NEW COMMUNITY SHELTER,NEW COMMUNITY SHELTER,33,467.0,33.0,active,44.5234438,-88.0153164,44.542973,-88.05582,"301 MATHER ST GREEN BAY WI, 54303"
43,CURATIVE CONNECTIONS,CURATIVE CONNECTIONS,34,470.0,34.0,active,44.5228851,-87.9339398,44.519512,-87.90283,"2900 CURRY LANE GREEN BAY WI, 54311"
44,CURATIVE CONNECTIONS,ZZZIN-HOUSE ADULT DAY PROGRAM,34,471.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
45,CURATIVE CONNECTIONS,HAPPY HEARTS ADULT DAY SERVICES-SHAWANO,34,472.0,34.0,active,44.7793224,-88.6096953,44.753555,-88.66879,"225 SOUTH MAIN STREET SHAWANO WI, 54166"
46,CURATIVE CONNECTIONS,ZZZ BATH/SHOWER SERVICE,34,473.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
47,CURATIVE CONNECTIONS,CLOUD FAMILY CENTER: GREEN BAY,34,474.0,34.0,active,44.5261992,-88.0603746,44.542973,-88.05582,"1538 WESTERN AVENUE GREEN BAY WI, 54303"
48,CURATIVE CONNECTIONS,ZZZ_ GENERATIONS ADULT DAY SERVICES: MANITOWOC,34,476.0,34.0,active,44.098247,-87.6572281,44.10854,-87.72284,"1402 Clark St Manitowoc, Wisconsin MANITOWOC WI, 54220"
49,CURATIVE CONNECTIONS,ZZZ INSIDERS II PROGRAM,34,477.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
50,CURATIVE CONNECTIONS,ZZZ PRE-SCREEN DRIVING ASSESSMENT,34,478.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
51,CURATIVE CONNECTIONS,ZZZ EMPLOYMENT EVALUATIONS,34,479.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
52,CURATIVE CONNECTIONS,ZZZ PLACEMENT AND COACHING SERVICES,34,480.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
53,CURATIVE CONNECTIONS,ZZZ PRE-VOCATIONAL PROGRAMMING,34,482.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
54,CURATIVE CONNECTIONS,ZZZ WORK ADJUSTMENT TRAINING,34,483.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
55,CURATIVE CONNECTIONS,ZZZ BRAIN INJURY SUPPORT GROUP,34,488.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
56,CURATIVE CONNECTIONS,"ZZZREADY, SET, LIFE",34,489.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
57,CURATIVE CONNECTIONS,JOURNEYS CLUB ADULT DAY SERVICES,34,490.0,34.0,active,44.5532358,-87.6991324,44.563313,-87.71129,"700 HERITAGE ROAD LUXEMBURG WI, 54217"
58,CURATIVE CONNECTIONS,ZZZ CUSTODIAL TRAINING PROGRAM,34,491.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Green Bay WI, 54311"
59,CURATIVE CONNECTIONS,ZZZ ALZHEIMER'S & OTHER DEMENTIAS SPOUSAL SUPPORT GROUPS CURATIVE CONNECTIONS,34,492.0,34.0,active,44.52376313,-87.93719467,44.519512,-87.90283,"2900 Curry Lane Rm 214A Green Bay WI, 54311"
60,CURATIVE CONNECTIONS,ZZZ ALZHEIMER'S & OTHER DEMENTIAS SPOUSAL SUPPORT GROUP MARLA VISTA,34,493.0,34.0,active,44.54001603,-88.05281137,44.542973,-88.05582,"1006 N. Military Ave. Marla Vista Green Bay WI, 54303"
61,ZZINACTIVE NEW EYES FOR THE NEEDY,ZZINACTIVE NEW EYES FOR THE NEEDY,35,495.0,35.0,active,40.71849464,-74.32284093,,,"549 Milburn Avenue Short Hills NJ, 7078"
62,ZZZ NEW HOME MEDICAL SUPPLY,ZZZ NEW HOME MEDICAL SUPPLY,36,496.0,36.0,active,44.53759764,-88.09427116,44.542973,-88.05582,"2751 North Packerland Drive Green Bay WI, 54303"
63,ZZINACTIVE NEW TRANSPORTATION,ZZINACTIVE NEW TRANSPORTATION,37,497.0,37.0,active,42.76026947,-90.03531703,44.69701,-87.52437,"9431 County D Forestville WI, 54213"
64,NEW WELLNESS ASSOCIATES,NEW WELLNESS ASSOCIATES,38,498.0,38.0,active,44.4730942,-88.078359,44.489906,-88.06991,"2830 Ramada Way Suite B Lower Level Green Bay WI, 54304"
65,NEWCAP,NEWCAP OCONTO HEADQUARTERS,39,499.0,39.0,active,44.88737958,-87.86602274,44.8877,-87.93925,"1201 Main Street Oconto WI, 54153"
66,NEWCAP,GREEN BAY NEWCAP COMMUNITY HEALTH CLINIC,39,506.0,39.0,active,44.5251305,-88.0612607,44.542973,-88.05582,"1540 CAPITOL DR GREEN BAY WI, 54303"
67,NEWCAP,CRANDON NEWCAP OFFICE,39,32718.0,39.0,active,45.5712925,-88.9030705,45.51941,-88.923035,"212 N LAKE AVE CRANDON WI, 54520"
68,NEWCAP,MARINETTE NEWCAP,39,37396.0,39.0,active,45.0994698,-87.6335357,45.09188,-87.67188,"1939 Hall Avenue Marinette WI, 54143"
69,NEWCAP,EAGLE RIVER NEWCAP COMMUNITY HEALTH CLINIC,39,37397.0,39.0,active,45.9155245,-89.2447826,45.951385,-89.26006,"603 East Wall Street Eagle River WI, 54521"
70,NEWCAP,CRIVITZ NEWCAP OFFICE,39,37438.0,39.0,active,45.2274663,-87.9972163,45.24844,-88.10308,"117 U.S. 141 Suite 103 Crivitz WI, 54114"
71,NICOLET HIGHLANDS,NICOLET HIGHLANDS,40,507.0,40.0,active,44.44572662,-88.07208241,44.409664,-88.09825,"430 Grant Street Suite 100 De Pere WI, 54115"
72,NICOLET TERRACE,NICOLET TERRACE,41,508.0,41.0,active,44.447753,-88.084427,44.409664,-88.09825,"850 MORNING GLORY LANE DE PERE WI, 54115"
73,"ZZZINACTIVE - CENTRAL WISCONSIN COMMUNITY ACTION COUNCIL, INC.",ZZZINACTIVE CWCAC DODGE COUNTY FOOD PANTRY,42,8561.0,42.0,active,43.45587104,-88.8370165,43.466454,-88.855804,"134 S. Spring St. Beaver Dam WI, 53916"
74,"ZZZINACTIVE - CENTRAL WISCONSIN COMMUNITY ACTION COUNCIL, INC.","ZZZINACTIVE CENTRAL WISCONSIN COMMUNITY ACTION COUNCIL, INC.",42,9087.0,42.0,active,43.62666326,-89.78423112,43.69647,-89.76022,"1000 Hwy 13 Wisconsin Dells WI, 53965"
75,ZZZINACTIVE - COMMUNITY ACTION - JANESVILLE,ZZZINACTIVE - TWIN OAKS SHELTER FOR THE HOMELESS,43,1847.0,43.0,active,42.60041542,-88.71117679,42.612835,-88.746826,"W9665 Highway 14 Darien WI, 53114"
76,ZZZINACTIVE - COMMUNITY ACTION - JANESVILLE,ZZZINACTIVE - COMMUNITY ACTION - JANESVILLE,43,3801.0,43.0,active,42.64649975,-89.03135287,42.66722,-88.94541,"1015 Burbank Avenue Janesville WI, 53546"
77,GRACE EPISCOPAL CHURCH,GRACE EPISCOPAL CHURCH,44,5782.0,44.0,active,43.0739539,-89.3861338,43.0707,-89.37565,"116 West Washington Avenue Madison WI, 53703"
78,NORTHEAST WISCONSIN TECHNICAL COLLEGE,NORTHEAST WISCONSIN TECHNICAL COLLEGE,45,509.0,45.0,active,44.5273237,-88.1073138,44.542973,-88.05582,"2740 WEST MASON STREET GREEN BAY WI, 54303"
79,NORTHEAST WISCONSIN TECHNICAL COLLEGE,ZZZ RETURNING ADULT,45,512.0,45.0,active,44.52398456,-88.11618749,44.573605,-88.11151,"2740 West Mason Street Green Bay WI, 54313"
80,NORTHEAST WISCONSIN TECHNICAL COLLEGE,ZZZ SUPPORT SERVICES,45,513.0,45.0,active,44.52398456,-88.11618749,44.573605,-88.11151,"2740 West Mason Street Green Bay WI, 54313"
81,REBUILDING DIVORCE AND PERSONAL GROWTH SEMINAR,REBUILDING DIVORCE AND PERSONAL GROWTH SEMINAR,46,7742.0,46.0,active,43.05470055,-89.32530569,43.060802,-89.32101,"5900 Monona Drive Suite 100 Monona WI, 53716"
82,OAKS FAMILY CARE CENTER,OAKS FAMILY CARE CENTER,47,515.0,47.0,active,44.5352772,-88.0550907,44.542973,-88.05582,"550 NORTH MILITARY AVENUE #13 GREEN BAY WI, 54303"
83,ODD FELLOW REBEKAH HOME ASSOCIATION,ODD FELLOW HOME,49,516.0,49.0,active,44.49577,-88.017381,44.483376,-88.02269,"1229 SOUTH JACKSON STREET GREEN BAY WI, 54301"
84,ODD FELLOW REBEKAH HOME ASSOCIATION,ASTOR TERRACE REHAB LEVEL 1 & 2,49,34993.0,49.0,active,44.4965637,-88.0167024,44.483376,-88.02269,"1207 SOUTH JACKSON STREET GREEN BAY WI, 54301"
85,ODD FELLOW REBEKAH HOME ASSOCIATION,REBEKAH HAVEN,49,34994.0,49.0,active,44.4968307,-88.0167488,44.483376,-88.02269,"826 Grignon Street Green Bay WI, 54301"
86,ODD FELLOW REBEKAH HOME ASSOCIATION,ODD FELLOW REBEKAH HOME ASSOCIATION CORPORATE OFFICE,49,34995.0,49.0,active,44.4965637,-88.0167024,44.483376,-88.02269,"1207 SOUTH JACKSON STREET GREEN BAY WI, 54301"
87,MADISON VET CENTER,MADISON VET CENTER,50,6118.0,50.0,active,43.113879,-89.362995,43.12822,-89.384636,"1291 North Sherman Avenue Madison WI, 53704"
88,ZZZINACTIVE - MADISON FAMILY WELLNESS COMMUNITY CLINIC,ZZZINACTIVE - MADISON FAMILY WELLNESS COMMUNITY CLINIC,51,6478.0,51.0,active,43.07290933,-89.45650274,43.074677,-89.45888,"617 N Segoe Rd Madison WI, 53705"
89,ONEIDA COMMUNITY HEALTH CENTER,ONEIDA COMMUNITY HEALTH CENTER,52,517.0,52.0,active,44.49842659,-88.16882243,44.51732,-88.19426,"525 Airport Road Oneida WI, 54155"
90,ZZZINACTIVE - MADISON FRIENDS OF INTERNATIONAL STUDENTS,ZZZINACTIVE - MADISON FRIENDS OF INTERNATIONAL STUDENTS,53,6665.0,53.0,active,43.07590055,-89.39758769,43.074764,-89.41122,"716 Langdon St Rm 223 Madison WI, 53706"
91,OREGON SCHOOL DISTRICT,OREGON SCHOOL DISTRICT,54,4951.0,54.0,active,42.9280228,-89.3821001,42.932453,-89.39212,"123 East Grove Street Oregon WI, 53575"
92,ONEIDA ELDER SERVICES,ONEIDA ELDER SERVICES,55,518.0,55.0,active,44.50925869,-88.17020829,44.51732,-88.19426,"2907 South Overland Road Oneida WI, 54155"
93,ONEIDA ELDER SERVICES,ONEIDA SENIOR CENTER,55,519.0,55.0,active,44.4980285,-88.1700698,44.51732,-88.19426,"2907 S OVERLAND RD  ONEIDA WI, 54155"
94,ONEIDA ELDER SERVICES,ONEIDA CAREGIVER GROUP,55,520.0,55.0,active,44.50925869,-88.17020829,44.51732,-88.19426,"2907 South Overland Road Oneida WI, 54155"
95,MADISON HEALTH SERVICES,MADISON EAST COMPREHENSIVE TREATMENT CENTER,56,7925.0,56.0,active,43.0560377,-89.2935566,43.060802,-89.32101,"5109 WORLD DAIRY DRIVE MADISON WI, 53716"
96,OPTIONS FOR INDEPENDENT LIVING,OPTIONS FOR INDEPENDENT LIVING-GB,57,521.0,57.0,active,44.5294039,-88.1090396,44.542973,-88.05582,"555 COUNTRY CLUB ROAD GREEN BAY WI, 54303"
97,ZZZINACTIVE - MADISON HOURS COOPERATIVE,ZZZINACTIVE - MADISON HOURS COOPERATIVE,58,5785.0,58.0,active,43.08335384,-89.36436146,43.0707,-89.37565,"1202 Williamson St Ste 1 Madison WI, 53703"
98,FOUNDATIONS HEALTH AND WHOLENESS,FOUNDATIONS MENTAL HEALTH CLINIC AND FOSTER CARE OFFICE - GREEN BAY,59,527.0,59.0,active,44.515679,-88.0421134,44.542973,-88.05582,"1061 W MASON ST  GREEN BAY WI, 54303"
99,FOUNDATIONS HEALTH AND WHOLENESS,FOUNDATIONS-RUNAWAY AND YOUTH SERVICES (RAYS),59,37040.0,59.0,active,43.7538359,-87.7123464,43.706993,-87.74312,"816 North 8th Street Sheboygan WI, 53081"
100,JUSTDANE,JUSTDANE,60,7068.0,60.0,active,43.0425332,-89.3937042,43.03725,-89.38687,"2115 South Park Street Madison WI, 53713"
101,JUSTDANE,HEALING HOUSE,60,35078.0,60.0,active,43.0727476,-89.4146924,43.07158,-89.420555,"303 LATHROP STREET MADISON WI, 53726"
102,ZZINACTIVE CVS PHARMACY,ZZINACTIVE CVS PHARMACY,61,528.0,61.0,active,44.48077633,-88.02444245,44.483376,-88.02269,"2222 South Webster Avenue Green Bay WI, 54301"
103,ZZZINACTIVE - MADISON NEWCOMERS' CLUB,ZZZINACTIVE - MADISON NEWCOMERS' CLUB,62,10981.0,62.0,active,43.04859785,-89.47180657,43.020435,-89.412674,"5346 CONEY WESTON PL MADISON WI, 53711"
104,ZZZ OSTO GROUP,ZZZ OSTO GROUP,63,529.0,63.0,active,26.90848109,-80.26675508,26.954231,-80.219604,"15070 Corporate Road North Jupiter FL, 33478"
105,MONONA SENIOR CENTER,MONONA SENIOR CENTER,64,7743.0,64.0,active,43.0637681,-89.3407409,43.060802,-89.32101,"1011 Nichols Road Monona WI, 53716"
106,MONONA SENIOR CENTER,ZZZINACTIVE - MONONA HILLS,64,7745.0,64.0,active,43.0575719,-89.3288639,43.060802,-89.32101,"353 OWEN RD MONONA WI, 53716"
107,MONONA SENIOR CENTER,ZZZINACTIVE - MONONA MEADOWS,64,7746.0,64.0,active,43.05138526,-89.30137665,43.060802,-89.32101,"25 Femrite Drive Madison WI, 53716"
108,PARAGON COMMUNITY SERVICES,PARAGON COMMUNITY SERVICES 2,65,530.0,65.0,active,44.5015088,-87.9920772,44.505505,-87.96799,"338 HARTUNG STREET GREEN BAY WI, 54302"
109,PARAGON COMMUNITY SERVICES,PARAGON COMMUNITY SERVICES 1,65,35205.0,65.0,active,44.478097,-88.082216,44.489906,-88.06991,"2733 SOUTH RIDGE ROAD GREEN BAY WI, 54304"
110,PARKSIDE APARTMENTS,PARKSIDE APARTMENTS,66,531.0,66.0,active,44.66487139,-88.24476459,44.673923,-88.28322,"231 Memorial Drive Pulaski WI, 54162"
111,ZZZINACTIVE - MADISON APPRENTICESHIP PROGRAM,ZZZINACTIVE - MADISON APPRENTICESHIP PROGRAM,67,6739.0,67.0,active,43.0363609,-89.45363814,43.020435,-89.412674,"4518 Verona Rd Madison WI, 53711"
112,EDEN BROOK GREEN BAY,EDEN BROOK OF GREEN BAY,68,532.0,68.0,active,44.5217018,-87.9376929,44.519512,-87.90283,"2961 SAINT ANTHONY DRIVE GREEN BAY WI, 54311"
113,WAUNAKEE SENIOR CENTER,WAUNAKEE SENIOR CENTER,69,5650.0,69.0,active,43.1890586,-89.4493241,43.18464,-89.47155,"333 South Madison Street Waunakee WI, 53597"
114,PARKWAY LANDINGS,PARKWAY LANDINGS,70,533.0,70.0,active,44.5056649,-87.9731019,44.505505,-87.96799,"251 HIGHLAND PARK AVENUE GREEN BAY WI, 54302"
115,ZZZINACTIVE - WISCONSIN ENGLISH AS A SECOND LANGUAGE INSTITUTE,ZZZINACTIVE - WISCONSIN ENGLISH AS A SECOND LANGUAGE INSTITUTE,71,5789.0,71.0,active,43.0756331,-89.38314828,43.0707,-89.37565,"19 N Pinckney Street Madison WI, 53703"
116,PAUL'S PANTRY,PAUL'S PANTRY ,72,534.0,72.0,active,44.524618,-87.9956919,44.505505,-87.96799,"1513 LEO FRIGO DRIVE GREEN BAY WI, 54302"
117,TELLURIAN INC,TELLURIAN  - WILLIAMSON STREET,73,5790.0,73.0,active,43.0816779,-89.366035,43.0707,-89.37565," Madison WI, 53703"
118,TELLURIAN INC,TELLURIAN,73,6742.0,73.0,active,43.0546084,-89.324252,43.060802,-89.32101,"5900 Monona Drive Suite 300 Monona WI, 53716"
119,TELLURIAN INC,TELLURIAN - INDUSTRIAL DRIVE,73,7070.0,73.0,active,43.0416051,-89.3601231,43.03725,-89.38687,"2914 Industrial Drive Madison WI, 53713"
120,TELLURIAN INC,TELLURIAN - FEMRITE DRIVE,73,7748.0,73.0,active,43.0559996,-89.3212314,43.060802,-89.32101,"300 Femrite Drive Madison WI, 53716"
121,TELLURIAN INC,TELLURIAN HOUSING,73,7749.0,73.0,active,43.073728,-89.3823586,43.0707,-89.37565," Madison WI, 53703"
122,TELLURIAN INC,CARE HOUSE,73,7750.0,73.0,active,43.7665519,-91.2105927,43.795456,-91.15379,"4647 Mormon Coulee Road La Crosse WI, 54601"
123,TELLURIAN INC,"ZZZINACTIVE - TELLURIAN UCAN, INC - BARABOO",73,33028.0,73.0,active,43.4696378,-89.7441448,43.465286,-89.75877,"414 BROADWAY STREET Suite 101 BARABOO WI, 53913"
124,TELLURIAN INC,TELLURIAN - MAT PROGRAM,73,33138.0,73.0,active,43.0664929,-89.326735,43.060802,-89.32101,"4915 Monona Drive Suite 210 Monona WI, 53716"
125,RAPE CRISIS CENTER,RAPE CRISIS CENTER - COHO STREET,74,7073.0,74.0,active,43.0324931,-89.4142841,43.03725,-89.38687,"2801 Coho Street Suite 301 Madison WI, 53713"
126,RAPE CRISIS CENTER,RAPE CRISIS CENTER - EAST CAMPUS MALL,74,7637.0,74.0,active,43.0725361,-89.3987493,43.061916,-89.39748,"333 East Campus Mall Suite 7901 Madison WI, 53715"
127,RAPE CRISIS CENTER,RAPE DRISIS CENTER - EDGEWOOD COLLEGE DRIVE,74,47903.0,74.0,active,43.0579339,-89.4230908,43.020435,-89.412674,"1000 Edgewood College Drive Madison WI, 53711"
128,RAPE CRISIS CENTER,RAPE CRISIS CENTER - WRIGHT STREET,74,47905.0,74.0,active,43.1215712,-89.3289214,43.12822,-89.384636,"1701 Wright Street Madison WI, 53704"
129,ZVLINACTIVE PEACE LUTHERAN CHURCH PARISH NURSE,ZVLINACTIVE PEACE LUTHERAN CHURCH PARISH NURSE,75,535.0,75.0,active,44.5910883,-88.19031885,44.573605,-88.11151,"1954 County Road U Green Bay WI, 54313"
