,title,media,date,datetime,desc,link,img
18,A history of tornadoes in Fond du Lac County,FDL Reporter,1 Aug 2018,,"... NETWORK-Wisconsin archives contain yellowed clips and piles of old 
negatives that tell tales of past violent weather, along with the tragedy 
of disaster...",https://www.fdlreporter.com/story/news/2018/08/31/history-tornadoes-fond-du-lac-county/1137540002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
19,May 4 is NOAA Weather Radio All Hazards Awareness Day in ...,Wisconsin Emergency Management,May 2022,,"“When severe weather is in the forecast, it's important for people to have 
multiple ways to receive alerts so they know when to seek shelter,” said 
Wisconsin...",https://wem.wi.gov/ready220502/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
20,"Upper Midwest Flooding: 1 Dead in Wisconsin, Disaster ...",The Weather Channel,7 Jun 2018,,"At least 60 sinkholes have been reported in Michigan, where a disaster has 
been declared. One death in Wisconsin has been blamed on the flooding. 
Advertisement.",https://weather.com/news/news/2018-06-17-flash-flooding-minnesota-michigan-wisconsin,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
21,A former Foxconn executive tries to explain what went wrong ...,The Verge,9 Apr 2022,,"The deal was supposedly quite simple: Foxconn (the company best known for 
manufacturing the iPhone), President Trump, and Wisconsin Governor Scott 
Walker all...",https://www.theverge.com/23030465/foxconn-lcd-factory-wisconsin-alan-yeung-trump-scott-walker-wisconn-valley-dome-decoder-interview,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
22,"After Wisconsin tragedy, Philly police are confident in their Thanksgiving Parade safety plan",WHYY,2 Nov 2021,,"After Wisconsin tragedy, Philly police are confident in their Thanksgiving 
... the number of officers on the street in the wake of the Wisconsin 
disaster.",https://whyy.org/articles/after-wisconsin-tragedy-philly-police-are-confident-in-their-thanksgiving-parade-safety-plan/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
23,"One Dead After Storms, Tornadoes Damage Buildings, Knock ...",The Weather Channel,30 Jul 2021,,"Impacts from the storms stretched from Wisconsin to northeast Illinois, ... 
were flattened in what was estimated by NOAA as an $11.5 billion disaster.",https://weather.com/news/news/2021-07-29-storms-wind-power-outages-wisconsin-illinois-michigan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
24,Registration open for 2022 Wisconsin Governor's ...,Wisconsin Emergency Management,2 Aug 2022,,"MADISON, Wis. – Registration is now open for the 2022 Wisconsin Governor's 
Cybersecurity Summit, being held Oct. 23-25 at the Wilderness Resort – 
Glacier...",https://wem.wi.gov/hsc220822/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
25,Walker Declares Statewide Emergency After Storms Ravage ...,Wisconsin Public Radio |,9 Aug 2018,,"If the state receives any federal disaster aid, Walker said a portion of 
the ... More heavy rain hit southern Wisconsin on Tuesday night in areas 
that have...",https://www.wpr.org/walker-declares-statewide-emergency-after-storms-ravage-communities,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
26,How Hurricane Ian and other disasters are becoming a growing source of inequality – even among the middle class,The Conversation,Oct 2022,,"Friendswood, Texas, is the type of community that one might think of as a 
“best case scenario” when it comes to recovering from a disaster.",https://theconversation.com/how-hurricane-ian-and-other-disasters-are-becoming-a-growing-source-of-inequality-even-among-the-middle-class-191637,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
27,Flood Mitigation Assistance (FMA) Grant,FEMA,9 Jul 2020,,"... for receiving certain types of non-emergency disaster assistance, ... 
which is now the management system for FEMA pre-disaster mitigation grants.",https://www.fema.gov/grants/mitigation/floods,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
28,Trophy hunters kill 216 wolves in Wisconsin bloodbath · A ...,A Humane World,Mar 2021,,"A no-holds-barred carnage of wolves in Wisconsin last week, ... Wisconsin's 
wolf hunt was, from start to finish, an example of the worst wildlife 
management...",https://blog.humanesociety.org/2021/03/trophy-hunters-kill-216-wolves-in-wisconsin-bloodbath.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
29,The looming election disaster - POLITICO,Politico,3 weeks ago,2022-11-11 17:39:44.103745,"Already, the Justice Department noted that seven battleground states — 
Arizona, Colorado, Georgia, Michigan, Nevada, Pennsylvania and Wisconsin — 
accounted...",https://www.politico.com/newsletters/politico-nightly/2022/11/07/the-looming-election-disaster-00065563,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
30,Members of Wisconsin's Red Cross help with California fires,Spectrum News,4 Sept 2022,,"Wisconsin disaster volunteers Bob & Elizabeth have just deployed to help 
with the evolving fire response in northern California. Thank you to all 
the volunteers...",https://spectrumnews1.com/wi/milwaukee/news/2022/09/14/members-of-wisconsin-s-red-cross-help-with-california-fires,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
31,FACT SHEET: Biden Administration Invests $1 Billion To ...,The White House,4 May 2021,,"The Administration is directing $1 billion in pre-disaster mitigation 
resources to communities, and it is announcing next generation climate data 
systems that...",https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/24/fact-sheet-biden-administration-invests-1-billion-to-protect-communities-families-and-businesses-before-disaster-strikes/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
32,Emergency Info,Florida Disaster,1 day ago,2022-12-01 17:39:44.783330,"Disaster Recovery Centers to Close Temporarily for Severe Weather 11/08 ... 
public wi-fi access locations throughout areas impacted by Hurricane Ian.",https://www.floridadisaster.org/info/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
33,"Mental health, other resources available in and around Wisconsin",TMJ4,8 Apr 2020,,"WISCONSIN — With the Safer at Home order extended through May, ... To reach 
out for free 24/7 counseling or support, contact the Disaster Distress 
Helpline...",https://www.tmj4.com/rebound/coronavirus-stress/mental-health-other-resources-available-in-and-around-wisconsin,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
34,Mount Pleasant residents oppose village board attempt to ...,Wisconsin Examiner,7 Mar 2022,,"Henry Redman is a staff reporter for the Wisconsin Examiner who focuses on 
covering Wisconsin's towns and rural areas. He previously covered crime and 
courts at...",https://wisconsinexaminer.com/2022/03/17/mount-pleasant-residents-opposing-village-board-attempt-to-extend-terms/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
35,Lawrence Tabak's Foxconned: A valuable forensic ...,WSWS,6 May 2022,,"In June 2018, President Donald Trump, Wisconsin governor Scott Walker, ... 
Tabak's volume makes clear that the consequences of the Foxconn disaster 
are far...",https://www.wsws.org/en/articles/2022/05/16/foxc-m16.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
36,National Weather Service confirms 5 tornadoes in southeast ...,CBS 58,9 Jul 2021,,"""Seeing if the Wisconsin disaster fund can be of help, and of course, 
possibly federal,"" Evers said. Some Concord residents said the Emergency 
Broadcast...",https://www.cbs58.com/news/national-weather-service-confirms-ef1-tornado-in-concord-jefferson-county,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
37,Hydrite Chemical Co. Ranked Number 35 Most Successful ...,PR Newswire,5 Nov 2020,,"BROOKFIELD, Wis., Nov. 25, 2020 /PRNewswire/ -- Hydrite Chemical Co. 
announced today that it ranked No. 35 on Deloitte's Wisconsin 75™, a 
ranking of the 75...",https://www.prnewswire.com/news-releases/hydrite-chemical-co-ranked-number-35-most-successful-private-company-on-deloittes-2020-wisconsin-75-301180340.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
38,Red Cross responds to Hurricane Ian devastation,Fox 11,Oct 2022,,"Locally more than 30 Wisconsin disaster volunteers are deployed in Florida 
and more will be deployed in the weeks and months ahead.",https://fox11online.com/news/state/red-cross-responds-to-hurricane-ian-devastation-tropical-storm-relief-donate-volunteer-florida,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
39,Waushara County Board votes to withdraw from East Central ...,Waushara Argus,9 Jun 2022,,"He is looking into funds for Wisconsin Disaster Municipalities and noted 
that the funds were not for individuals. He also said he received calls on 
the...",https://www.wausharaargus.com/news-government/waushara-county-board-votes-withdraw-east-central-planning,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
40,Midterm Elections 2022: Senate deadlock looms in GOP disaster,New York Post,3 weeks ago,2022-11-11 17:39:45.609543,"In Wisconsin, GOP incumbent Ron Johnson struggled to shake Democratic Lt. 
Gov. Mandela Barnes after pre-election polls showed Johnson pulling away in 
the...",https://nypost.com/2022/11/09/democrats-defy-the-odds-to-keep-control-of-senate/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
41,Historic 2008 flooding remembered,NBC15,Jun 2018,,"It was the worst disaster since the Great Floods of 1993 that hit the 
Midwest. ... Don Dunbar, Wisconsin's adjutant general and Homeland Security 
Advisor.",https://www.nbc15.com/content/news/Historic-2008-flooding-remembered-484928971.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
42,Mesh Networks Can Connect Us During Disasters (Commentary),Government Technology,2 Nov 2020,,"Centralized communications systems — the standard for today's cell, Wi-Fi 
and satellite networks — rely on a central hub to route data from point A 
to point...",https://www.govtech.com/em/safety/mesh-networks-can-connect-us-during-disasters-commentary.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
43,FEMA Surges Hundreds of Additional Personnel to Puerto ...,FEMA,3 Sept 2022,,"The declaration authorizes FEMA to coordinate all federal disaster relief 
efforts to save lives and protect property. Administrator Criswell called 
Governor...",https://www.fema.gov/press-release/20220920/fema-surges-hundreds-additional-personnel-puerto-rico-hurricane-fiona,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
44,A University of Tampa Bay student decided to remain in Tampa instead of evacuating home to Wisconsin,NBC26,8 Sept 2022,,"There is a handful of Wisconsinites that are prepared to travel to Florida 
as part of the Red Cross Wisconsin disaster relief team.",https://www.nbc26.com/news/local-news/a-university-of-tampa-bay-student-has-decided-to-remain-in-tampa-instead-of-evacuating-home-to-wisconsin,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
45,"Meyers, Bewley advocate bills for Wisconsin flood prevention ...",Daily Globe,2 Mar 2020,,"-Reducing the amount recipients of Wisconsin Disaster Fund money are 
responsible for covering down from 30% to 25% and making additional funds 
available...",https://www.yourdailyglobe.com/story/2020/03/12/news/meyers-bewley-advocate-bills-for-wisconsin-flood-prevention-resilience/13629.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Wisconsin_Guide+%28Wisconsin_Guide%29,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
46,Middle Inlet property owners still assessing storm damage,ehextra.com,3 Jun 2022,,"The Wisconsin Emergency Management confirmed funds from the Wisconsin 
Disaster Fund might be available for eligible expenses. Counties and tribes 
have 30 days...",https://www.ehextra.com/news/middle-inlet-property-owners-still-assessing-storm-damage/article_71450ab2-f0c6-11ec-89a7-138c2f2d213a.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
47,Survivors of Laos' Worst Dam Disaster Still Struggling Two ...,ReliefWeb,3 Jul 2020,,"Survivors of Laos' Worst Dam Disaster Still Struggling Two Years Later ... 
a Southeast Asia expert at the University of Wisconsin-Madison, told RFA.",https://reliefweb.int/report/lao-peoples-democratic-republic/survivors-laos-worst-dam-disaster-still-struggling-two-years,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
48,"2008 Oshkosh floods: 10-year anniversary, lessons learned",Oshkosh Northwestern,2 Jun 2018,,"University of Wisconsin-Oshkosh campus saw damage to nearly every building. 
... RELATED:2008 floods, the costliest disaster in Wisconsin history,...",https://www.thenorthwestern.com/story/news/2018/06/12/2008-oshkosh-floods-10-year-anniversary-lessons-learned/693940002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
49,Beloved MKE barber celebrating 90th birthday,TMJ4,Sept 2017,,"Wisconsin Disaster Team Heads South To Help With Irma. “Being a boss is one 
thing,” he says, referring to the barber shop he's owned for decades and 
his...",https://www.tmj4.com/news/local-news/ive-been-blessed-well-beloved-milwaukee-barber-george-jelich-celebrating-90th-birthday,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
50,America's Vaccine Rollout Is Already a Disaster,New York Magazine,30 Dec 2020,,"It's happening all over again. For months, Americans who despaired about 
the country's coronavirus-suppression efforts looked desperately to the 
arrival of...",https://nymag.com/intelligencer/article/americas-vaccine-rollout-disaster.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
51,20221001 First Lady Casey DeSantis Announces Over $20 ...,Florida Disaster,Oct 2022,,"""Raising more than $20 million in 48 hours for The Florida Disaster Fund is 
a ... charging cords and cell phones, as well as three wi-fi trailers with 
the...",https://www.floridadisaster.org/news-media/news/20221001-first-lady-casey-desantis-announces-over-$20-million-raised-within-48-hours-of-activating-the-florida-disaster-fund/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
52,Green Bay flooding: Avoid areas near East River due to ...,Green Bay Press-Gazette,5 Mar 2019,,"As flooding spread across the county, Streckenbach issued his disaster ... 
will make the county eligible for reimbursement from the Wisconsin Disaster 
Fund.",https://www.greenbaypressgazette.com/story/news/2019/03/15/green-bay-police-avoid-areas-near-east-river-due-flooding/3173366002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
53,Democrats' midterm hopes fade: 'We peaked a little early',Politico,1 month ago,2022-11-02 17:39:46.384547,"Wade in June, it seemed possible that Democrats could avoid a midterm 
disaster. ... edged ahead of Democrats in U.S. Senate races in Nevada and 
Wisconsin,...",https://www.politico.com/news/2022/10/17/democrats-worry-they-peaked-too-soon-00062189,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
54,Now Would Be a Great Time for the Press to Learn How to Cover Trump,VICE,Jul 2022,,"In a state like Wisconsin that's so heavily gerrymandered only Republicans 
can win control in a split state, you can see the potential disaster.",https://www.vice.com/en/article/5d3pax/cassidy-hutchinson-donald-trump-jan-6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
55,Fox News commentator describes midterms as ‘searing indictment’ for GOP,The Hill,3 weeks ago,2022-11-11 17:39:46.398888,"The GOP, Thiessen continued, “needs to do a really deep introspection look 
in the mirror right now, because this is an absolute disaster for the 
Republican...",https://thehill.com/homenews/3726972-fox-newss-marc-thiessen-says-midterms-a-disaster-for-gop/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
56,The top 10 global weather and climate change events of 2021,Yale Climate Connections,1 Jan 2022,,"Time series of global weather mega-disasters costing at least $20 billion 
(adjusted ... spawning EF2 tornadoes as far north as Minnesota and 
Wisconsin – an...",https://yaleclimateconnections.org/2022/01/the-top-10-global-weather-and-climate-change-events-of-2021/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
57,Dan Devine's debuts were a double disaster,Green Bay Packers,Apr 2021,,"As you noted, this was Devine's preseason debut and another disaster. ... a 
highly successful high school and college coach in Wisconsin,...",https://www.packers.com/news/dan-devine-s-debuts-were-a-double-disaster,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
58,11 'Loki' Episode 2 Easter Eggs And What They Could Mean ...,Slash Film,6 Jun 2021,,"This episode begins with a renaissance faire set in Oshkosh, Wisconsin in 
the ... needs to start looking in places where major disasters are 
occurring that...",https://www.slashfilm.com/581751/loki-episode-2-easter-eggs/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
59,What Is Huawei OceanProtect Data Protection?,Huawei Enterprise,Jun 2021,,"OceanProtect is a full-lifecycle solution that provides Disaster Recovery 
(DR), backup, and archiving services to help enterprises cope with the 
soaring...",https://e.huawei.com/en/products/storage/oceanprotect,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
60,Foxconn's Plans Largely Fell Through. So Why Is Mount ...,UpNorthNews,20 Jul 2021,,"... screen factory pitched as a facility that would revolutionize 
manufacturing in Wisconsin and bring in 13,000 new jobs. ... ”It'll just be 
a disaster.”.",https://upnorthnewswi.com/2021/07/20/foxconns-plans-largely-fell-through-so-why-is-mount-pleasant-taking-more-land/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
61,Rescuing a Linux system from near disaster,Network World.com,1 Jun 2021,,"How-to measure enterprise Wi-Fi speeds. Related: Linux. Sandra 
Henry-Stocker has been administering Unix systems...",https://www.networkworld.com/article/3621772/rescuing-a-linux-system-from-near-disaster.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
62,A Tactical Disaster for Russia’s Military,The New York Times,3 May 2022,,"A Tactical Disaster for Russia's Military. A failed crossing of the Donets 
River in eastern Ukraine led to heavy losses for Russian troops and rare 
criticism of...",https://www.nytimes.com/2022/05/23/podcasts/the-daily/russia-military-ukraine-war.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
63,More Tornado Recovery Centers,Spectrum News,20 Dec 2021,,"FRANKFORT, Ky. —There are two Disaster Recovery Centers now open in Hopkins 
and Warren Counties to help deal with tornado relief efforts.",https://spectrumnews1.com/ky/louisville/news/2021/12/20/tornado-recovery-centers,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
64,20221010 Governor Ron DeSantis Issues Updates on ...,Florida Disaster,1 month ago,2022-11-02 17:39:47.192635,"First Lady Casey DeSantis announced that the Florida Disaster Fund has 
raised ... by Hurricane Ian with wi-fi, phone batteries, and charging 
stations.",https://www.floridadisaster.org/news-media/news/20221010-governor-ron-desantis-issues-updates-on-hurricane-ian-recovery/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
