title,link,date_parsed
October 2022 Hydrologic and Precipitation Summary,news.google.com/./articles/CBMiJmh0dHBzOi8vd3d3LndlYXRoZXIuZ292L2FyeC9wY3BuLm9jdDIy0gEA?hl=en-US&gl=US&ceid=US%3Aen,10-24-2022
Historic Drought Causing Mississippi River to Dry Up,news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnZvYW5ld3MuY29tL2EvaGlzdG9yaWMtZHJvdWdodC1jYXVzaW5nLW1pc3Npc3NpcHBpLXJpdmVyLXRvLWRyeS11cC82ODI5NDIxLmh0bWzSAV1odHRwczovL3d3dy52b2FuZXdzLmNvbS9hbXAvaGlzdG9yaWMtZHJvdWdodC1jYXVzaW5nLW1pc3Npc3NpcHBpLXJpdmVyLXRvLWRyeS11cC82ODI5NDIxLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,11-12-2022
Most of west-central WI in drought conditions,news.google.com/./articles/CBMikQFodHRwczovL3d3dy5sZWFkZXJ0ZWxlZ3JhbS5jb20vbmV3cy9kYWlseS11cGRhdGVzL21vc3Qtb2Ytd2VzdC1jZW50cmFsLXdpLWluLWRyb3VnaHQtY29uZGl0aW9ucy9hcnRpY2xlX2YxOWZmNWQxLWM3OGUtNWVmMy04ZjIxLTg4OTRiNDE3ZmZiOS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,10-10-2022
Wisconsin sees huge improvement in ongoing drought,news.google.com/./articles/CBMiX2h0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL3dlYXRoZXIvMjAyMi8wNC8xOS93aXNjb25zaW4tc2Vlcy1pbXByb3ZlbWVudC1pbi1kcm91Z2h00gEA?hl=en-US&gl=US&ceid=US%3Aen,4-19-2022
Drought develops in parts of Western Wisconsin | Weather | wqow.com,news.google.com/./articles/CBMifWh0dHBzOi8vd3d3Lndxb3cuY29tL3dlYXRoZXIvZHJvdWdodC1kZXZlbG9wcy1pbi1wYXJ0cy1vZi13ZXN0ZXJuLXdpc2NvbnNpbi9hcnRpY2xlXzM5Mjc4OWQ0LWZmMDgtMTFlYy04NzM4LWMzMTE0Mjg5MWUzYy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,7-8-2022
Illinois Drought Monitor Update: Much drier than a year ago.,news.google.com/./articles/CBMiYmh0dHBzOi8vd2dudHYuY29tL3dlYXRoZXIvd2VhdGhlci1ibG9nL2lsbGlub2lzLWRyb3VnaHQtbW9uaXRvci11cGRhdGUtbXVjaC1kcmllci10aGFuLWEteWVhci1hZ28v0gFmaHR0cHM6Ly93Z250di5jb20vd2VhdGhlci93ZWF0aGVyLWJsb2cvaWxsaW5vaXMtZHJvdWdodC1tb25pdG9yLXVwZGF0ZS1tdWNoLWRyaWVyLXRoYW4tYS15ZWFyLWFnby9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,11-4-2022
A Wet Decade Shifts To Drought In Southern Wisconsin,news.google.com/./articles/CBMiWGh0dHBzOi8vcGJzd2lzY29uc2luLm9yZy9uZXdzLWl0ZW0vYS13ZXQtZGVjYWRlLXNoaWZ0cy10by1kcm91Z2h0LWluLXNvdXRoZXJuLXdpc2NvbnNpbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,6-7-2021
Slight Drought Improvement - Subzero Wind Chills On The Way,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnN0YXJ0cmlidW5lLmNvbS9zbGlnaHQtZHJvdWdodC1pbXByb3ZlbWVudC1zdWJ6ZXJvLXdpbmQtY2hpbGxzLW9uLXRoZS13YXkvNjAwMjI3MTQxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,11-17-2022
Drought watch: Dry weather in southern Wisconsin could threaten crops,news.google.com/./articles/CBMif2h0dHBzOi8vd3d3Lmpzb25saW5lLmNvbS9zdG9yeS93ZWF0aGVyLzIwMjEvMDYvMTUvZHJvdWdodC13YXRjaC1kcnktd2VhdGhlci1zb3V0aGVybi13aXNjb25zaW4tY291bGQtdGhyZWF0ZW4tY3JvcHMvNzY0NjQwMTAwMi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,6-15-2021
Much of Wisconsin now caught up on precipitation,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3Lndpc2Zhcm1lci5jb20vc3RvcnkvbmV3cy8yMDIyLzA2LzEzL211Y2gtd2lzY29uc2luLW5vdy1jYXVnaHQtdXAtcHJlY2lwaXRhdGlvbi83NjE2NDg3MDAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,6-13-2022
Drought conditions worsen in Wisconsin with only a few slight chances for rain in the forecast,news.google.com/./articles/CBMipAFodHRwczovL3d3dy53cW93LmNvbS93ZWF0aGVyL2Ryb3VnaHQtY29uZGl0aW9ucy13b3JzZW4taW4td2lzY29uc2luLXdpdGgtb25seS1hLWZldy1zbGlnaHQtY2hhbmNlcy1mb3ItcmFpbi1pbi10aGUvYXJ0aWNsZV8xZjlmODVkNi00MDQyLTExZWQtOTk1Yy04MzViMmRiODYwMTkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,9-30-2022
Wisconsin basketball beats Dayton 43-42 in a defensive slugfest,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnNpLmNvbS9jb2xsZWdlL3dpc2NvbnNpbi9iYXNrZXRiYWxsL2JhdHRsZS00LWF0bGFudGlzLWJhZGdlcnMtdmVyc3VzLWRheXRvbi1yZWNhcNIBYmh0dHBzOi8vd3d3LnNpLmNvbS9jb2xsZWdlL3dpc2NvbnNpbi8uYW1wL2Jhc2tldGJhbGwvYmF0dGxlLTQtYXRsYW50aXMtYmFkZ2Vycy12ZXJzdXMtZGF5dG9uLXJlY2Fw?hl=en-US&gl=US&ceid=US%3Aen,11-23-2022
Wisconsin basketball outduels USC 64-59 in the Battle 4 Atlantis,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnNpLmNvbS9jb2xsZWdlL3dpc2NvbnNpbi9iYXNrZXRiYWxsL2JhdHRsZS00LWF0bGFudGlzLWJhZGdlcnMtdmVyc3VzLXVzYy1yZWNhcNIBX2h0dHBzOi8vd3d3LnNpLmNvbS9jb2xsZWdlL3dpc2NvbnNpbi8uYW1wL2Jhc2tldGJhbGwvYmF0dGxlLTQtYXRsYW50aXMtYmFkZ2Vycy12ZXJzdXMtdXNjLXJlY2Fw?hl=en-US&gl=US&ceid=US%3Aen,11-25-2022
Think Minnesota's drought is bad? Wait until you see the West,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmthcmUxMS5jb20vYXJ0aWNsZS9uZXdzL2xvY2FsL3dhdGVyLXdhcnMtaW1wYWN0LW9mLWxha2UtbWVhZC1kcm91Z2h0Lzg5LWUxNDhmNmU0LTk5ZTQtNDBkMi05NmUzLWUyMmRiMTdiZTlhNNIBAA?hl=en-US&gl=US&ceid=US%3Aen,11-16-2022
Over half of Wisconsin is in moderate to extreme drought conditions,news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LndlYXUuY29tLzIwMjEvMDYvMTcvb3Zlci1oYWxmLXdpc2NvbnNpbi1pcy1tb2RlcmF0ZS1leHRyZW1lLWRyb3VnaHQtY29uZGl0aW9ucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,6-17-2021
Slow start to growing season; improving drought conditions in SE Wisconsin,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmZveDZub3cuY29tL3dlYXRoZXIvc2xvdy1zdGFydC10by1ncm93aW5nLXNlYXNvbi1idXQtaW1wcm92aW5nLWRyb3VnaHQtY29uZGl0aW9uc9IBYWh0dHBzOi8vd3d3LmZveDZub3cuY29tL3dlYXRoZXIvc2xvdy1zdGFydC10by1ncm93aW5nLXNlYXNvbi1idXQtaW1wcm92aW5nLWRyb3VnaHQtY29uZGl0aW9ucy5hbXA?hl=en-US&gl=US&ceid=US%3Aen,4-25-2022
Another less than ideal year for cranberries,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmZyZXNocGxhemEuY29tL25vcnRoLWFtZXJpY2EvYXJ0aWNsZS85NDc2NDQwL2Fub3RoZXItbGVzcy10aGFuLWlkZWFsLXllYXItZm9yLWNyYW5iZXJyaWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,11-9-2022
Soggy stretch of weather eliminates drought across Wisconsin,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmNiczU4LmNvbS9uZXdzL3NvZ2d5LXN0cmV0Y2gtb2Ytd2VhdGhlci1lbGltaW5hdGVzLWRyb3VnaHQtYWNyb3NzLXdpc2NvbnNpbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,4-28-2022
Christmas trees in high demand as megadrought leads to limited supply,news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LmZveHdlYXRoZXIuY29tL2xpZmVzdHlsZS9jaHJpc3RtYXMtdHJlZS1mb3JlY2FzdC1oYXJ2ZXN00gFIaHR0cHM6Ly93d3cuZm94d2VhdGhlci5jb20vbGlmZXN0eWxlL2NocmlzdG1hcy10cmVlLWZvcmVjYXN0LWhhcnZlc3QuYW1w?hl=en-US&gl=US&ceid=US%3Aen,11-2-2022
Wisconsin basketball scraps together a win vs. UW-Green Bay 56-45,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnNpLmNvbS9jb2xsZWdlL3dpc2NvbnNpbi9iYXNrZXRiYWxsL3dpc2NvbnNpbi1tZW5zLWJhc2tldGJhbGwtd2luLWFnYWluc3QtdXctZ3JlZW4tYmF50gFnaHR0cHM6Ly93d3cuc2kuY29tL2NvbGxlZ2Uvd2lzY29uc2luLy5hbXAvYmFza2V0YmFsbC93aXNjb25zaW4tbWVucy1iYXNrZXRiYWxsLXdpbi1hZ2FpbnN0LXV3LWdyZWVuLWJheQ?hl=en-US&gl=US&ceid=US%3Aen,11-15-2022
Drought: what is it and what can we do about,news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5vc2Nlb2xhc3VuLmNvbS9vcGluaW9uL2NvbHVtbnMvZHJvdWdodC13aGF0LWlzLWl0LWFuZC13aGF0LWNhbi13ZS1kby1hYm91dC9hcnRpY2xlXzIxZTU5YzU4LTU0ODQtMTFlZC05NTdlLTQ3NjAwMTg2M2IwMS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,10-28-2022
Wisconsin National Guard deployed to Horn of Africa,news.google.com/./articles/CBMiWGh0dHBzOi8vd2lzY29uc2luZXhhbWluZXIuY29tL2JyaWVmL3dpc2NvbnNpbi1uYXRpb25hbC1ndWFyZC1kZXBsb3llZC10by1ob3JuLW9mLWFmcmljYS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,11-24-2022
Dry conditions expected to continue across Northland,news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmR1bHV0aG5ld3N0cmlidW5lLmNvbS93ZWF0aGVyL2RyeS1jb25kaXRpb25zLWV4cGVjdGVkLXRvLWNvbnRpbnVlLWFjcm9zcy1ub3J0aGxhbmTSAQA?hl=en-US&gl=US&ceid=US%3Aen,7-13-2022
"Severe drought conditions extend south, west of Twin Cities metro; dry conditions persist",news.google.com/./articles/CBMifmh0dHBzOi8va3N0cC5jb20va3N0cC1uZXdzL2xvY2FsLW5ld3Mvc2V2ZXJlLWRyb3VnaHQtY29uZGl0aW9ucy1leHRlbmQtc291dGgtd2VzdC1vZi10d2luLWNpdGllcy1tZXRyby1kcnktY29uZGl0aW9ucy1wZXJzaXN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,8-4-2022
Wisconsin drought conditions on cusp of impacting crop yields,news.google.com/./articles/CBMidGh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL25ld3MvMjAyMS8wNi8xMi93aXNjb25zaW4tZHJvdWdodC1jb25kaXRpb25zLW9uLWN1c3Atb2YtaW1wYWN0aW5nLWNyb3AteWllbGRz0gEA?hl=en-US&gl=US&ceid=US%3Aen,6-12-2021
Drought conditions persist for one-quarter of Wisconsin,news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LndlYXUuY29tLzIwMjEvMDYvMDMvZHJvdWdodC1jb25kaXRpb25zLXBlcnNpc3QtZm9yLW9uZS1xdWFydGVyLW9mLXdpc2NvbnNpbi_SAWdodHRwczovL3d3dy53ZWF1LmNvbS8yMDIxLzA2LzAzL2Ryb3VnaHQtY29uZGl0aW9ucy1wZXJzaXN0LWZvci1vbmUtcXVhcnRlci1vZi13aXNjb25zaW4vP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen,6-3-2021
"With drought impacting western US, Wisconsin cattle farmers could see higher demand, prices in coming months",news.google.com/./articles/CBMidmh0dHBzOi8vd3d3Lndwci5vcmcvZHJvdWdodC1pbXBhY3Rpbmctd2VzdGVybi11cy13aXNjb25zaW4tY2F0dGxlLWZhcm1lcnMtY291bGQtc2VlLWhpZ2hlci1kZW1hbmQtcHJpY2VzLWNvbWluZy1tb250aHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,9-14-2022
Nearly one-quarter of Wisconsin experiencing moderate drought conditions,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LndlYXUuY29tLzIwMjEvMDQvMzAvbmVhcmx5LW9uZS1xdWFydGVyLW9mLXdpc2NvbnNpbi1leHBlcmllbmNpbmctbW9kZXJhdGUtZHJvdWdodC1jb25kaXRpb25zL9IBeGh0dHBzOi8vd3d3LndlYXUuY29tLzIwMjEvMDQvMzAvbmVhcmx5LW9uZS1xdWFydGVyLW9mLXdpc2NvbnNpbi1leHBlcmllbmNpbmctbW9kZXJhdGUtZHJvdWdodC1jb25kaXRpb25zLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,4-30-2021
Here's what happened today at the U.N.'s COP27 climate negotiations,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3Lndwci5vcmcvaGVyZXMtd2hhdC1oYXBwZW5lZC10b2RheS11LW4tcy1jb3AyNy1jbGltYXRlLW5lZ290aWF0aW9uc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,11-7-2022
"Despite drought in southern Wisconsin, crop researchers say average yields are expected this year",news.google.com/./articles/CBMibGh0dHBzOi8vd3d3Lndwci5vcmcvZGVzcGl0ZS1kcm91Z2h0LXNvdXRoZXJuLXdpc2NvbnNpbi1jcm9wLXJlc2VhcmNoZXJzLXNheS1hdmVyYWdlLXlpZWxkcy1hcmUtZXhwZWN0ZWQteWVhctIBAA?hl=en-US&gl=US&ceid=US%3Aen,11-29-2021
2021 Drought Monitor: How Dry Is It In Wisconsin?,news.google.com/./articles/CBMiT2h0dHBzOi8vcGF0Y2guY29tL3dpc2NvbnNpbi9taWx3YXVrZWUvMjAyMS1kcm91Z2h0LW1vbml0b3ItaG93LWRyeS1pdC13aXNjb25zaW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,6-4-2021
Moderate drought expands across southeast Wisconsin,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LmNiczU4LmNvbS9uZXdzL21vZGVyYXRlLWRyb3VnaHQtZXhwYW5kcy1hY3Jvc3Mtc291dGhlYXN0LXdpc2NvbnNpbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,6-10-2021
Over one-quarter of Wisconsin remains in at least moderate drought,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LndzYXcuY29tLzIwMjEvMDcvMjIvb3Zlci1vbmUtcXVhcnRlci13aXNjb25zaW4tcmVtYWlucy1sZWFzdC1tb2RlcmF0ZS1kcm91Z2h0L9IBaWh0dHBzOi8vd3d3LndzYXcuY29tLzIwMjEvMDcvMjIvb3Zlci1vbmUtcXVhcnRlci13aXNjb25zaW4tcmVtYWlucy1sZWFzdC1tb2RlcmF0ZS1kcm91Z2h0Lz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,7-22-2021
Drought conditions remain unchanged across southeast Wisconsin,news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmNiczU4LmNvbS9uZXdzL2Ryb3VnaHQtY29uZGl0aW9ucy1yZW1haW4tdW5jaGFuZ2VkLWFjcm9zcy1zb3V0aGVhc3Qtd2lzY29uc2lu0gEA?hl=en-US&gl=US&ceid=US%3Aen,7-8-2021
"Environmental, Ag Experts Warn Drought Conditions Sign Of What's To Come With Climate Change",news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3Lndwci5vcmcvZW52aXJvbm1lbnRhbC1hZy1leHBlcnRzLXdhcm4tZHJvdWdodC1jb25kaXRpb25zLXNpZ24td2hhdHMtY29tZS1jbGltYXRlLWNoYW5nZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,8-6-2021
"Drought took a toll, but Texas tree industry ready for holiday",news.google.com/./articles/CBMiQmh0dHBzOi8vbmV3cy55YWhvby5jb20vZHJvdWdodC10b29rLXRvbGwtdGV4YXMtdHJlZS0wNDU0MDAzNjcuaHRtbNIBSmh0dHBzOi8vbmV3cy55YWhvby5jb20vYW1waHRtbC9kcm91Z2h0LXRvb2stdG9sbC10ZXhhcy10cmVlLTA0NTQwMDM2Ny5odG1s?hl=en-US&gl=US&ceid=US%3Aen,11-12-2022
"Severe drought conditions issued for metro area, moderate drought area expands",news.google.com/./articles/CBMidGh0dHBzOi8va3N0cC5jb20va3N0cC1uZXdzL2xvY2FsLW5ld3Mvc2V2ZXJlLWRyb3VnaHQtY29uZGl0aW9ucy1pc3N1ZWQtZm9yLW1ldHJvLWFyZWEtbW9kZXJhdGUtZHJvdWdodC1hcmVhLWV4cGFuZHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,7-22-2022
Wisconsin needs a massive winter storm to dump a ton of snow,news.google.com/./articles/CBMibWh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWlsd2F1a2VlL3dlYXRoZXIvMjAyMi8wMS8zMS93aXNjb25zaW4taXMtaW4tZGlyZS1uZWVkLW9mLWEtbWFzc2l2ZS13aW50ZXItc3Rvcm3SAQA?hl=en-US&gl=US&ceid=US%3Aen,2-1-2022
Low water levels on Mississippi River and global volatility push Great Lakes grain shipments higher,news.google.com/./articles/CBMicWh0dHBzOi8vd3d3Lndwci5vcmcvZ3JlYXQtbGFrZXMtc3QtbGF3cmVuY2Utc2Vhd2F5LWdyYWluLXNoaXBtZW50cy1taXNzaXNzaXBwaS1yaXZlci1sb3ctd2F0ZXItbGV2ZWxzLXVrcmFpbmUtd2Fy0gEA?hl=en-US&gl=US&ceid=US%3Aen,11-18-2022
"Drought conditions largely unchanged from last week in Minn., Wis.",news.google.com/./articles/CBMiZGh0dHBzOi8va3N0cC5jb20va3N0cC1uZXdzL3RvcC1uZXdzL2Ryb3VnaHQtY29uZGl0aW9ucy1sYXJnZWx5LXVuY2hhbmdlZC1mcm9tLWxhc3Qtd2Vlay1pbi1taW5uLXdpcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,8-18-2022
June 2022 Hydrologic and Precipitation Summary,news.google.com/./articles/CBMiJmh0dHBzOi8vd3d3LndlYXRoZXIuZ292L2FyeC9wY3BuLmp1bjIy0gEA?hl=en-US&gl=US&ceid=US%3Aen,6-13-2022
"More than 75% of Minn. seeing dry conditions, part of metro now in extreme drought",news.google.com/./articles/CBMidGh0dHBzOi8va3N0cC5jb20va3N0cC1uZXdzL3RvcC1uZXdzL21vcmUtdGhhbi03NS1vZi1taW5uLXNlZWluZy1kcnktY29uZGl0aW9ucy1wYXJ0LW9mLW1ldHJvLW5vdy1pbi1leHRyZW1lLWRyb3VnaHQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,10-8-2022
September 2022 Hydrologic and Precipitation Summary,news.google.com/./articles/CBMiJmh0dHBzOi8vd3d3LndlYXRoZXIuZ292L2FyeC9wY3BuLnNlcDIy0gEA?hl=en-US&gl=US&ceid=US%3Aen,9-19-2022
Drought Lingers into Fall,news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3Lm5iYzE1LmNvbS8yMDIxLzA5LzIzL2Ryb3VnaHQtbGluZ2Vycy1pbnRvLWZhbGwv0gFKaHR0cHM6Ly93d3cubmJjMTUuY29tLzIwMjEvMDkvMjMvZHJvdWdodC1saW5nZXJzLWludG8tZmFsbC8_b3V0cHV0VHlwZT1hbXA?hl=en-US&gl=US&ceid=US%3Aen,9-23-2021
Which corn growing states have the worst drought?,news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmFncmljdWx0dXJlLmNvbS93ZWF0aGVyL25ld3Mvd2hpY2gtY29ybi1ncm93aW5nLXN0YXRlcy1oYXZlLXRoZS13b3JzdC1kcm91Z2h00gEA?hl=en-US&gl=US&ceid=US%3Aen,8-26-2022
"Portion of Minnesota, including metro, in moderate drought",news.google.com/./articles/CBMiYWh0dHBzOi8va3N0cC5jb20va3N0cC1uZXdzL3dlYXRoZXItbmV3cy9wb3J0aW9uLW9mLW1pbm5lc290YS1pbmNsdWRpbmctbWV0cm8taW4tbW9kZXJhdGUtZHJvdWdodC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,7-14-2022
WI cattle farmers could benefit from drought in western US,news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lndpc2Zhcm1lci5jb20vc3RvcnkvbmV3cy8yMDIyLzA5LzIzL3dpLWNhdHRsZS1mYXJtZXJzLWNvdWxkLWJlbmVmaXQtZHJvdWdodC13ZXN0ZXJuLXVzLzgwNzA5NTEwMDEv0gEA?hl=en-US&gl=US&ceid=US%3Aen,9-23-2022
Drought still lingers in Southern Wisconsin,news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm5iYzE1LmNvbS8yMDIxLzA4LzA1L2Ryb3VnaHQtc3RpbGwtbGluZ2Vycy1zb3V0aGVybi13aXNjb25zaW4v0gFZaHR0cHM6Ly93d3cubmJjMTUuY29tLzIwMjEvMDgvMDUvZHJvdWdodC1zdGlsbC1saW5nZXJzLXNvdXRoZXJuLXdpc2NvbnNpbi8_b3V0cHV0VHlwZT1hbXA?hl=en-US&gl=US&ceid=US%3Aen,8-5-2021
Cloud seeding helps the severe droughts across the globe,news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LndlYXJlZ3JlZW5iYXkuY29tL3dlYXRoZXIvYmV5b25kdGhlZm9yZWNhc3QvY2xvdWQtc2VlZGluZy1oZWxwcy10aGUtc2V2ZXJlLWRyb3VnaHRzLWFjcm9zcy10aGUtZ2xvYmUv0gF1aHR0cHM6Ly93d3cud2VhcmVncmVlbmJheS5jb20vd2VhdGhlci9iZXlvbmR0aGVmb3JlY2FzdC9jbG91ZC1zZWVkaW5nLWhlbHBzLXRoZS1zZXZlcmUtZHJvdWdodHMtYWNyb3NzLXRoZS1nbG9iZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,8-12-2022
