Client_Id,Interaction_ClientId,Interaction_Id,Notes,Units,Amount,Site_Id,Agency_Id,Program_Id,Service_id,ShareOptIn,CostPerUnit,Taxonomy_Id,FundingAmount,Taxonomy_Code,Taxonomy_Name,DateOfReferral,Agency_ParentId,SiteSystem_Name,TaxonomyLink_Id,AgencySystem_Name,TaxonomyLink_Code,TaxonomyLink_Name,ProgramSystem_Name,ServiceSystem_Name,DateOfServiceProvided,InteractionReferral_Id,AgencySystem_ParentName,OptionListValue_ReasonUnmet
2788,2788,1405263,None,None,None,None,None,None,'RF-3300','THERAPY ASSOCIATES',2126131,13509,413164,'WINNESHIEK MEDICAL CENTER  DECORAH CLINIC','MENTAL HEALTH/COUNSELING SERVICES',None,None,None,None,None,None,'PN-8100.5000','NORTHEAST IOWA BEHAVIORAL HEALTH',2126144,11940,412641,'FRANCISCAN SPIRITUALITY CENTER','DEPRESSED ANONYMOUS'
2788,2788,1405263,None,None,4311,None,None,32174,'Individual Counseling',None,'THERAPY ASSOCIATES',8034,None,None,None,None,None,10190,None,None,60102,'Mental Health Related Support Groups',None,'NORTHEAST IOWA BEHAVIORAL HEALTH',6227,None,None,None
2788,2788,1405263,10025,413164,'LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES','MENTAL HEALTH/COUNSELING SERVICES',None,None,None,None,None,None,'RF-3300','WINNESHIEK MEDICAL CENTER CLINICS',2126132,15778,413164,'FAMILIES FIRST COUNSELING SERVICES - DECORAH OFFICE','MENTAL HEALTH / COUNSELING SERVICES',None,None,None,None,None,None,'PN-8100.5000','FRANCISCAN SPIRITUALITY CENTER',2126145
2788,2788,1405263,4311,None,None,None,None,None,8056,None,None,32151,'Individual Counseling',None,'WINNESHIEK MEDICAL CENTER CLINICS',10190,None,None,None,None,None,7895,None,None,27116,'Mental Health Related Support Groups',None,'FRANCISCAN SPIRITUALITY CENTER'
2788,2788,1405263,None,'RF-3300','LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES',2126130,13522,413164,'THERAPY ASSOCIATES','MENTAL HEALTH/COUNSELING SERVICES',None,None,None,None,None,None,'RF-3300','FAMILIES FIRST COUNSELING SERVICES',2126133,13463,412641,'NORTHEAST IOWA BEHAVIORAL HEALTH','HEALTHY OPTIONS FOR LIVING WELL',None,None,None,None,None
34193,34193,1405228,None,None,None,28400,16174,None,61692,None,None,408259,None,'BV-8900.9300-250','Gas Service Payment Assistance',None,16174,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER',None,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None,None,None,'ENERGY ASSISTANCE AND CRISIS ENERGY APPOINTMENTS',None,2126075,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None
37629,37629,1405208,None,None,None,28397,16173,None,49700,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,16173,'IMPACT - 211',None,'IMPACT',None,None,None,'211 USE - EMOTIONAL/SUPPORTIVE LISTENING-WAUKESHA COUNTY',None,2126049,'IMPACT',None
26768,26768,1405176,None,None,None,28397,16173,None,49700,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,16173,'IMPACT - 211',None,'IMPACT',None,None,None,'211 USE - EMOTIONAL/SUPPORTIVE LISTENING-WAUKESHA COUNTY',None,2126004,'IMPACT',None
2680,2680,1405161,None,None,7800,64303,None,None,'Undesignated Temporary Financial Assistance',7800,None,None,None,None,'NORTHEAST IOWA COMMUNITY ACTION CORPORATION',None,None,9179,34815,None,None,'Food Pantries',9179,None,None,None,None,'NORTHEAST IOWA FOOD BANK'
2680,2680,1405161,None,37403,None,None,411244,'NT-8900',None,'NORTHEAST IOWA COMMUNITY ACTION CORPORATION - CLAYTON COUNTY','NORTHEAST IOWA COMMUNITY ACTION CORPORATION',None,'FAMILY AND INDIVIDUAL SERVICES - CLAYTON',2125989,None,None,33437,None,None,407761,'BD-1800.2000',None,'NORTHEAST IOWA FOOD BANK - GUTTENBERG MOBILE FOOD PANTRY','NORTHEAST IOWA FOOD BANK',None,'GUTTENBERG MOBILE FOOD PANTRY',2125990,<NESTED LIST>
42998,42998,1405140,None,None,None,37820,16173,None,65177,None,None,121,None,'BH-0500.3200','Housing Related Coordinated Entry',None,16173,'IMPACT - REPAIRERS OF THE BREACH',None,'IMPACT',None,None,None,'COORDINATED ENTRY ASSESSMENT IN-REACH CENTERS',None,2125957,'IMPACT',None
2670,2670,1405110,None,None,None,7489,754,None,54770,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,754,'GREAT RIVERS 2-1-1',None,'GREAT RIVERS 2-1-1',None,None,None,'SUPPORTIVE LISTENING - IN HOUSE USE',None,2125894,'GREAT RIVERS 2-1-1',None
2693,2693,1405077,None,None,None,14003,8793,None,58909,None,None,408110,None,'BM-7000.0500','Automotive Repair and Maintenance',None,8793,'HOUSTON COUNTY SALVATION ARMY',None,'HOUSTON COUNTY SALVATION ARMY',None,None,None,'TRANSPORTATION EXPENSE ASSISTANCE',None,2125843,'HOUSTON COUNTY SALVATION ARMY',None
40885,40885,1405060,None,None,15443,46438,None,None,'Low Income/Subsidized Private Rental Housing',15443,None,None,None,None,'SAINT CLARE MANAGEMENT',None,None,15792,64321,None,None,'Low Income/Subsidized Private Rental Housing',15792,None,None,None,None,'HOPE HOUSE OF MILWAUKEE'
40885,40885,1405060,None,26937,None,None,407978,'BH-7000.4600-450',None,'SAINT CLARE MANAGEMENT','SAINT CLARE MANAGEMENT',None,'RENTAL HOUSING',2125815,None,None,37426,None,None,407978,'BH-7000.4600-450',None,'HOPE HOUSE OF MILWAUKEE - SAINT CATHERINE RESIDENCE','HOPE HOUSE OF MILWAUKEE',None,'SAINT CATHERINE RESIDENCE',2125816,None
24563,24563,1404984,None,None,23268,63591,None,None,'Holiday Gifts/Toys',23268,None,None,None,None,'TOYS FOR TOTS WEBSITE (Year-round for Information and Community Outreach)',None,None,15764,52436,None,None,'Holiday Gifts/Toys',15764,None,None,None,None,'SALVATION ARMY DIVISIONAL HEADQUARTERS'
24563,24563,1404984,None,37092,None,None,411591,'PH-2950.3200',None,'TOYS FOR TOTS WEBSITE (Year-round for Information and Community Outreach)','TOYS FOR TOTS WEBSITE (Year-round for Information and Community Outreach)',None,'TOYS FOR TOTS WEBSITE (Year-round for Information and Community Outreach)',2125657,None,None,27658,None,None,411591,'PH-2950.3200',None,'SALVATION ARMY DISTRIBUTION CENTER','SALVATION ARMY DIVISIONAL HEADQUARTERS',None,'TOY SHOP',2125658,None
20536,20536,1404969,None,28434,49843,407882,'Community Shelters','MILWAUKEE RESCUE MISSION',None,'SAFE HARBOR','MILWAUKEE RESCUE MISSION',None,16181,None,None,None,29157,'Community Shelters * Families',None,None,None,None,None,'BH-0500.3200',16173,'IMPACT',None,2125641
20536,20536,1404969,None,16181,None,None,None,None,None,None,None,None,None,None,'BH-1800.8500-150',16181,'MILWAUKEE RESCUE MISSION',None,2125640,None,37820,65177,121,'Housing Related Coordinated Entry','IMPACT - REPAIRERS OF THE BREACH',None,'COORDINATED ENTRY ASSESSMENT IN-REACH CENTERS','IMPACT'
20536,20536,1404969,None,None,None,'BH-1800.8500-150',16181,'MILWAUKEE RESCUE MISSION',None,2125639,None,28435,49818,407882,'Community Shelters','MILWAUKEE RESCUE MISSION - JOY HOUSE','BH-1800.8500-150 * YK-2000','JOY HOUSE','MILWAUKEE RESCUE MISSION',None,16173,None,None,None,None,None,None,None
26768,26768,1404959,None,None,None,28397,16173,None,49699,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,16173,'IMPACT - 211',None,'IMPACT',None,None,None,'WAUKESHA COUNTY CRISIS LINE',None,2125629,'IMPACT',None
35135,35135,1404719,None,34981,59049,407761,'Food Pantries','SOULS HARBOR BAPTIST CHURCH',None,'FOOD PANTRY Z','SOULS HARBOR BAPTIST CHURCH',None,16104,None,None,None,None,None,None,None,None,None,None,'BD-1800.2000',15945,'UNITY EVANGELICAL LUTHERAN CHURCH',None,2125187
35135,35135,1404719,None,21900,None,None,None,None,None,None,None,None,None,None,'BD-1800.2000',16104,'FAITH PRESBYTERIAN CHURCH',None,2125186,None,28107,60096,407761,'Food Pantries','UNITY EVANGELICAL LUTHERAN CHURCH',None,'FOOD PANTRY Z','UNITY EVANGELICAL LUTHERAN CHURCH'
35135,35135,1404719,None,None,None,'BD-1800.2000',21900,'SOULS HARBOR BAPTIST CHURCH',None,2125185,None,28306,49540,407761,'Food Pantries','FAITH PRESBYTERIAN CHURCH',None,'FOOD PANTRY Z','FAITH PRESBYTERIAN CHURCH',None,15945,None,None,None,None,None,None,None
29697,29697,1404704,None,46900,'Low Income/Subsidized Private Rental Housing',None,"""UNITED METHODIST CHILDREN'S SERVICES""",17567,None,None,None,None,None,16016,None,None,46423,'Low Income/Subsidized Private Rental Housing',None,'METROPOLITAN ASSOCIATES',15443,None,None,None,None,None,1904,None
29697,29697,1404704,None,None,None,None,None,None,'BH-7000.4600-450','CARDINAL CAPITAL MANAGEMENT',2125149,28193,407978,'LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN (LSS) - WASHINGTON ST','SUBSIDIZED HOUSING',None,None,None,None,None,None,'BH-7000.4600-450','SAINT CLARE MANAGEMENT',2125152,12634,407978,'UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD) - HUD OFFICE - WISCONSIN','SUBSIDIZED HOUSING INFORMATION - WISCONSIN'
29697,29697,1404704,None,None,15510,None,None,54024,'Low Income/Subsidized Private Rental Housing',None,'CARDINAL CAPITAL MANAGEMENT',16016,None,None,None,None,None,15440,None,None,46438,'Low Income/Subsidized Private Rental Housing',None,'SAINT CLARE MANAGEMENT',1904,None,None,None
29697,29697,1404704,27114,407978,"""UNITED METHODIST CHILDREN'S SERVICES""",'SUPPORTIVE HOUSING',None,None,None,None,None,None,'BH-7000.4600-450','LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN',2125150,26934,407978,'METROPOLITAN ASSOCIATES','RENTAL HOUSING',None,None,None,None,None,None,'BH-7000.4600-450','UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD)',2125153
29697,29697,1404704,15510,None,None,None,None,None,17567,None,None,49254,'Low Income/Subsidized Private Rental Housing',None,'LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN',15440,None,None,None,None,None,15443,None,None,19559,'Low Income/Subsidized Private Rental Housing',None,'UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD)'
29697,29697,1404704,None,'BH-7000.4600-450',"""UNITED METHODIST CHILDREN'S SERVICES""",2125148,31808,407978,'CARDINAL CAPITAL MANAGEMENT','PRIVATE RENTAL HOUSING',None,None,None,None,None,None,'BH-7000.4600-450','METROPOLITAN ASSOCIATES',2125151,26937,407978,'SAINT CLARE MANAGEMENT','RENTAL HOUSING',None,None,None,None,None
2693,2693,1404702,None,None,None,7489,754,None,54770,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,754,'GREAT RIVERS 2-1-1',None,'GREAT RIVERS 2-1-1',None,None,None,'SUPPORTIVE LISTENING - IN HOUSE USE',None,2125147,'GREAT RIVERS 2-1-1',None
31639,31639,1404684,None,None,16934,52237,None,None,'Community Shelters',16934,29157,'BH-1800.8500-150 * YK-2000',None,None,'211 USE - COMMUNITY SHELTER UNMET',None,None,16173,65177,None,None,'Housing Related Coordinated Entry',16173,None,None,None,None,'IMPACT'
31639,31639,1404684,None,30499,None,None,407882,'BH-1800.8500-150',None,'211 USE - COMMUNITY SHELTER UNMET','211 USE - COMMUNITY SHELTER UNMET','Community Shelters * Families','COMMUNITY SHELTER - UNMET',2125105,<NESTED LIST>,None,37819,None,None,121,'BH-0500.3200',None,"""IMPACT - ST BEN'S""",'IMPACT',None,'COORDINATED ENTRY ASSESSMENT IN-REACH CENTERS',2125106,None
41375,41375,1404681,None,None,None,28400,16174,None,61692,None,None,408258,None,'BV-8900.9300-180','Electric Service Payment Assistance',None,16174,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER',None,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None,None,None,'ENERGY ASSISTANCE AND CRISIS ENERGY APPOINTMENTS',None,2125101,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None
41375,41375,1404680,None,None,None,28400,16174,None,61692,None,None,408258,None,'BV-8900.9300-180','Electric Service Payment Assistance',None,16174,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER',None,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None,None,None,'ENERGY ASSISTANCE AND CRISIS ENERGY APPOINTMENTS',None,2125100,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None
32842,32842,1404579,None,28395,49690,407761,'Food Pantries','MILWAUKEE CHRISTIAN CENTER - 14TH STREET',None,'FOOD PANTRY 1','MILWAUKEE CHRISTIAN CENTER',None,16233,None,None,None,None,None,None,None,None,None,None,'BD-1800.2000',15463,'CASA MARIA CATHOLIC WORKER',None,2124903
32842,32842,1404579,None,16172,None,None,None,None,None,None,None,None,None,None,'BD-1800.2000',16233,'ST VINCENT DE PAUL SOCIETY - MILWAUKEE',None,2124902,None,26986,64947,407761,'Food Pantries','CASA MARIA CATHOLIC WORKER',None,'FOOD TRUCK','CASA MARIA CATHOLIC WORKER'
32842,32842,1404579,None,None,None,'BD-1800.2000',16172,'MILWAUKEE CHRISTIAN CENTER',None,2124901,None,35541,59990,407761,'Food Pantries','BASILICA OF SAINT JOSAPHAT FOOD PANTRY',None,'FOOD PANTRY - BASILICA OF SAINT JOSAPHAT - SEE BOUNDARIES','ST VINCENT DE PAUL SOCIETY - MILWAUKEE',None,15463,None,None,None,None,None,None,None
26190,26190,1404545,None,None,None,28400,16174,None,61692,None,None,408258,None,'BV-8900.9300-180','Electric Service Payment Assistance',None,16174,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER',None,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None,None,None,'ENERGY ASSISTANCE AND CRISIS ENERGY APPOINTMENTS',None,2124837,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None
24563,24563,1404535,None,None,None,27658,15764,None,52436,None,None,411591,None,'PH-2950.3200','Holiday Gifts/Toys',None,15764,'SALVATION ARMY DISTRIBUTION CENTER',None,'SALVATION ARMY DIVISIONAL HEADQUARTERS',None,None,None,'TOY SHOP',None,2124812,'SALVATION ARMY DIVISIONAL HEADQUARTERS',None
19840,19840,1404518,None,None,None,28400,16174,None,61692,None,None,408258,None,'BV-8900.9300-180','Electric Service Payment Assistance',None,16174,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER',None,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None,None,None,'ENERGY ASSISTANCE AND CRISIS ENERGY APPOINTMENTS',None,2124764,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None
40712,40712,1404510,None,None,15469,55460,None,None,'Food Pantries',15469,None,None,None,None,'COA YOUTH & FAMILY CENTERS',None,None,16953,52283,None,None,'Food Pantries',16953,None,None,None,None,'GREATER LITTLE HILL COGIC'
40712,40712,1404510,None,27013,None,None,407761,'BD-1800.2000',None,'COA YOUTH & FAMILY CENTERS - GOLDIN CENTER','COA YOUTH & FAMILY CENTERS',None,'COA GOLDIN FOOD PANTRY',2124753,None,None,30659,None,None,407761,'BD-1800.2000',None,'GREATER LITTLE HILL COGIC','GREATER LITTLE HILL COGIC',None,'AMANI COMMUNITY CENTER FOOD PANTRY',2124754,None
2693,2693,1404497,None,None,None,7489,754,None,54770,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,754,'GREAT RIVERS 2-1-1',None,'GREAT RIVERS 2-1-1',None,None,None,'SUPPORTIVE LISTENING - IN HOUSE USE',None,2124736,'GREAT RIVERS 2-1-1',None
34193,34193,1404495,None,None,None,28400,16174,None,61692,None,None,408258,None,'BV-8900.9300-180','Electric Service Payment Assistance',None,16174,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER',None,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None,None,None,'ENERGY ASSISTANCE AND CRISIS ENERGY APPOINTMENTS',None,2124733,'MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES',None
37629,37629,1404408,None,None,None,28397,16173,None,49700,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,16173,'IMPACT - 211',None,'IMPACT',None,None,None,'211 USE - EMOTIONAL/SUPPORTIVE LISTENING-WAUKESHA COUNTY',None,2124601,'IMPACT',None
26768,26768,1404393,None,None,None,28397,16173,None,49700,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,16173,'IMPACT - 211',None,'IMPACT',None,None,None,'211 USE - EMOTIONAL/SUPPORTIVE LISTENING-WAUKESHA COUNTY',None,2124581,'IMPACT',None
2680,2680,1404371,None,None,None,7489,754,None,54770,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,754,'GREAT RIVERS 2-1-1',None,'GREAT RIVERS 2-1-1',None,None,None,'SUPPORTIVE LISTENING - IN HOUSE USE',None,2124555,'GREAT RIVERS 2-1-1',None
2679,2679,1404353,None,None,None,7489,754,None,54770,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,754,'GREAT RIVERS 2-1-1',None,'GREAT RIVERS 2-1-1',None,None,None,'SUPPORTIVE LISTENING - IN HOUSE USE',None,2124526,'GREAT RIVERS 2-1-1',None
2679,2679,1404332,None,None,None,7489,754,None,54770,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,754,'GREAT RIVERS 2-1-1',None,'GREAT RIVERS 2-1-1',None,None,None,'SUPPORTIVE LISTENING - IN HOUSE USE',None,2124503,'GREAT RIVERS 2-1-1',None
35660,35660,1404293,None,None,None,28397,16173,None,49695,None,None,414509,None,'TJ-3000.8500','211 Systems',None,16173,'IMPACT - 211',None,'IMPACT',None,None,None,'IMPACT 211',None,2124426,'IMPACT',<NESTED LIST>
32539,32539,1404227,None,None,None,28405,16176,None,49721,None,None,410313,None,'LH-0350','Aging and Disability Resource Centers',None,16176,'AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY - MARCIA P COGGS CENTER',None,'AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY',None,None,None,'AGING AND DISABILITY SERVICES',None,2124294,'AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY',None
28635,28635,1404187,None,None,None,28399,16173,None,49737,None,None,412966,None,'RX-0400.1500-150','Central Intake/Assessment for Alcohol Use Disorder',None,16173,'IMPACT - ACCESS POINT',None,'IMPACT',None,None,None,'ASSESSMENT FOR SUBSTANCE USE DISORDERS - ACCESS POINT',None,2124491,'IMPACT',None
42998,42998,1404175,None,None,None,37820,16173,None,65177,None,None,121,None,'BH-0500.3200','Housing Related Coordinated Entry',None,16173,'IMPACT - REPAIRERS OF THE BREACH',None,'IMPACT',None,None,None,'COORDINATED ENTRY ASSESSMENT IN-REACH CENTERS',None,2124200,'IMPACT',None
32944,32944,1404024,None,None,None,15684,8597,None,19975,None,None,408856,None,'DM-1500.1620','Credit Report Ordering Assistance',None,8597,'ANNUAL CREDIT REPORT REQUEST SERVICE',None,'ANNUAL CREDIT REPORT REQUEST SERVICE',None,None,None,'CREDIT REPORT ORDERING ASSISTANCE',None,2123886,'ANNUAL CREDIT REPORT REQUEST SERVICE',None
22400,22400,1403989,None,None,16173,'COORDINATED ENTRY ASSESSMENT IN-REACH CENTERS',None,407882,29363,2123821,16733,'BH-3800.7000',None,None,64439,None,None,None,None,'COMMUNITY ADVOCATES - JAMES LOVELL ST',None,27055,None,'COMMUNITY ADVOCATES','COMMUNITY ADVOCATES',None,'Rent Payment Assistance',None
22400,22400,1403989,None,None,"""IMPACT - ST BEN'S""",None,28435,None,'MILWAUKEE RESCUE MISSION','MILWAUKEE RESCUE MISSION',None,'Rent Payment Assistance',None,None,None,23570,'RENTAL HOUSING SERVICES',None,407943,None,2123839,15476,'BH-3800.7000',None,None,46349,None,None
22400,22400,1403989,None,121,None,2123820,16181,'BH-1800.8500-150','BH-1800.8500-150 * YK-8200.8100',None,51683,None,None,None,None,'MILWAUKEE RENTAL HOUSING RESOURCE CENTER',None,27055,None,'COMMUNITY ADVOCATES','COMMUNITY ADVOCATES',None,'Rent Payment Assistance',None,None,None,15432,'EMERGENCY ASSISTANCE (EA) GRANT'
22400,22400,1403989,37819,None,'IMPACT','IMPACT',None,'Community Shelters','Community Shelters * Single Women',None,None,16733,'EMERGENCY ASSISTANCE GRANT',None,407943,None,2123838,15476,'BH-3800.7000',None,None,61863,None,None,None,None,'MAXIMUS - CENTURY CITY TOWER',None
22400,22400,1403989,16173,'BH-0500.3200',None,None,49818,None,None,None,None,'AMERICA WORKS OF WISCONSIN',None,37477,None,'MILWAUKEE RENTAL HOUSING RESOURCE CENTER','MILWAUKEE RENTAL HOUSING RESOURCE CENTER',None,'Rent Payment Assistance',None,None,None,15476,'HOMELESS PREVENTION AND FINANCIAL ASSISTANCE PROGRAM',None,407943,None,2123841
22400,22400,1403989,None,'Housing Related Coordinated Entry',None,None,None,16181,'JOY HOUSE',None,407943,None,2123837,23570,'BH-3800.7000',None,None,63041,None,None,None,None,'COMMUNITY ADVOCATES - JAMES LOVELL ST',None,26909,None,'MAXIMUS','MAXIMUS'
22400,22400,1403989,65177,None,None,None,None,'MILWAUKEE RESCUE MISSION - JOY HOUSE',None,29588,None,'AMERICA WORKS OF WISCONSIN','AMERICA WORKS OF WISCONSIN',None,'Rent Payment Assistance',None,None,None,15476,'EMERGENCY RENT ASSISTANCE PROGRAM - ERAP (WERA)',None,407943,None,2123840,15432,'BH-3800.7000',None,None
2693,2693,1403970,None,None,None,7489,754,None,54770,None,None,413132,None,'RF-8380','Talklines/Warmlines',None,754,'GREAT RIVERS 2-1-1',None,'GREAT RIVERS 2-1-1',None,None,None,'SUPPORTIVE LISTENING - IN HOUSE USE',None,2123799,'GREAT RIVERS 2-1-1',None
2679,2679,1403955,None,None,None,None,None,None,None,None,None,414477,None,'TJ-3200.1600','Directory Assistance',None,None,None,None,None,None,None,None,None,None,2123764,None,None
31847,31847,1403865,None,None,16934,52237,None,None,'Community Shelters',16934,29157,'BH-1800.8500-150 * YK-2000',None,None,'211 USE - COMMUNITY SHELTER UNMET',None,None,16173,65177,None,None,'Housing Related Coordinated Entry',16173,None,None,None,None,'IMPACT'
31847,31847,1403865,None,30499,None,None,407882,'BH-1800.8500-150',None,'211 USE - COMMUNITY SHELTER UNMET','211 USE - COMMUNITY SHELTER UNMET','Community Shelters * Families','COMMUNITY SHELTER - UNMET',2123574,None,None,37819,None,None,121,'BH-0500.3200',None,"""IMPACT - ST BEN'S""",'IMPACT',None,'COORDINATED ENTRY ASSESSMENT IN-REACH CENTERS',2123575,None
