Field Column Name;Datatype / Format;Style Guide Notes;Considerations;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhoIsCalling;"[757 => ""Individual"", 758 => ""Professional""]";"""Who is calling"" - Client: Select if professional is calling for resources for a client, parishioner, employee, etc. Not for general benefit of their organization. Organization: Select if professional is calling for resources or materials for the general use/benefit of organization or for reference (no particular client indicated)";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhatTypeOfProfessional;"[698 => ""Agency"", 699 => ""Clergy"", 700 => ""Employer"", 701 => ""Law Enforcement"", 702 => ""Other""]";"""what type of professional"" - Agency: Select if professional is calling for their own organization or for a client who receives services. Clergy: Select when caller is church/synagogue/mosque/faith community staff or representative. Employer: Select if professional is calling for an employee. Agencies can be marked as employers if they are calling for an employee of the agency. Law Enforcement :Select if caller is representative of police, emergency medical personnel, fire department. Other: Select if professional is calling but does not fit any above definitions";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_211CallType;"[721 => ""Information Only"", 722 => ""Information and Referral"", 723 => ""Crisis"", 724 => ""No Referral Given""]";Information Only: Select when giving information in response to specific inquiries, like a program’s phone number, address, hours, etc. (See 2019 AIRS I&R Training Manual). Select Information Only if an unmet need is recorded and no other referrals were given. If a call is mental health-related with no referral, log it as Information Only and save a referral to your center. Information & Referral: Select when assessment is performed and referrals are given. Caller may be aware of problem in a general way, but need assistance to define specific needs and identify sources of help. (See 2019 AIRS I&R Training Manual). Crisis: Select when performing crisis intervention to ensure safety of caller or others. Can include medical or psychiatric emergency, domestic violence, child or vulnerable adult abuse/neglect, or other forms of distress. Often used when referrals or transfers are made to crisis centers, law enforcement, medical or fire emergency personnel. (See 2019 AIRS I&R Training Manual: Roles of an I&R). No Referral Given: Select when no referrals, OODs, or unmet needs are recorded;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhyWasThereNoReferralGiven;"[725 => ""Call Terminated"", 726 => ""Directions"", 727 => ""Prank Call"", 728 => ""Time/Day/Date"", 729 => ""Wrong Number"", 1106 => ""Crisis Call/No Referral"", 1107 => ""Supportive Listening"", 1265 => ""Admin Call for Contract"", 1751 => ""Voicemail""]";"Only viewable if ""211CallType"" equals ""No Referral Given"" - Select appropriate Reason for No Referral. Call Terminated: Select when call disconnects before any referral information can be given. If need was expressed and was a definite unmet need, record the unmet need and mark Information Only. If you know the need the caller is calling about, log with Refer To Needs Only and choose correct Taxonomy term. Prank Call: Select for any prank calls. Wrong Number: Select when caller called 2-1-1 by mistake and no other numbers are provided by I&R Specialist. If specialist provides caller with the correct contact information for the number they were originally trying to reach, record referral and mark Information Only";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_HowDidYouHearAbout2111;"[546 => ""Agency/Provider"", 547 => ""Internet"", 548 => ""Media"", 549 => ""Phonebook"", 550 => ""PR Materials"", 551 => ""Word of mouth"", 552 => ""Repeat"", 553 => ""Other"", 554 => ""Unknown"", 1148 => ""United Way"", 1215 => ""Misdirected call""]";How the caller heard about 211 - options are self explanatory;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhatTypeOfMedia;"[1112 => ""Billboard"", 1113 => ""Campaign"", 1114 => ""Commercial/Ad"", 1115 => ""News"", 1116 => ""Social Media""]";Triggered by HowDidYouHearAbout211 = Media, options are self explanatory;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_MayIFollowUpWithYou;"[1328 => ""Yes"", 1329 => ""Refused follow up"", 1330 => ""Did Not Ask"", 1331 => ""Call Disconnected"", 1332 => ""Crisis""]";Follow-up call permission - options self explanatory;"We have had historical issues of centers not marking this field as a ""No"" even when they ask it to the caller. The data for non response and ask-rate is skewed.";;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_WarmTransfer;true,false,null;equals true if the caller was warm transferred to a resource by the I&R specialist ;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WarmTransferTo;"[1420 => ""ADRC (Aging and Disability Resource Centers)"", 1776 => ""County Agency - Child Welfare or CPS"", 1777 => ""County Agency - Alcohol or Drug Related (AODA)"", 1778 => ""Recovery Organization"", 1954 => ""CCR&R"", 2362 => ""Other"", 2758 => ""Recovery Coach Warm Line"", 2770 => ""Family Services COVID-19 Support Line"", 2782 => ""Covering Wisconsin""]";Where the caller was warmtransferred to - options are self explanatory;None;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_DidYouMakeAnOutOfDatabaseReferral;true,false,null;equals true if the agent gave the caller a referral to an organization that was not in our database ;None;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_OutOfDatabaseDescription;text;description of out of database resource that was provided to the caller;None;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_SwfAdvocacyYesNo;true,false,null;equals true if 211 provided advocacy for the client ;New field in 2021/2022;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_FollowUpAttempt1;YYYY/MM/DD;date of first follow up attempt;Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes);;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_FollowUpAttempt2;YYYY/MM/DD;date of second follow up attempt;Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes);;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_FollowUpAttempt3;YYYY/MM/DD;date of third follow up attempt;Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes);;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_FollowUpComplete;true,false,null;select true if the caller was reached for a follow up or if 3 attempts to contact were made;Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes);;;;;;;;;;;;;;;;;;;;;;
InteractionOption_UnableToContact;"[680 => ""3 attempts, no contact"", 681 => ""Disconnected phone number"", 682 => ""Wrong number"", 683 => ""Refused follow up"", 764 => ""Discontinued after many tries to reach"", 765 => ""Not at this number""]";"Select ""Discontinued after many tries to reach"" if three attempts to contact were made without connecting with the client. ""Not at this number"" if you received indication you cannot reach them at this number. ""Disconnected Phone Number"" if the phone number is disconnect. ""Refused to follow up"" if caller is reached but no conversation was allowed for.";Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes);;;;;;;;;;;;;;;;;;;;;;
InteractionOption_DidYouContactTheReferralsGivenToYouBy211;"[347 => ""Yes"", 348 => ""No"", 1429 => ""N/A""]";"Follow up question - ""Did you contact the referrals given to you by 211?""";Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes) AND was reached ;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_ReferralAbleToHelp;"[803 => ""Yes - Need Met"", 804 => ""Not yet"", 805 => ""No"", 806 => ""Some, not all"", 807 => ""No referrals obtained"", 1426 => ""Yes - Need Partially Met"", 1427 => ""Did not contact referrals"", 1430 => ""N/A""]";"Follow up question - ""Were the referrals given to you by 211 WI able to help?""";Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes) AND was reached ;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_DoYouNeedAdditionalHelp;true,false,null;Follow up question - true if the caller has indicated they need additional help;Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes) AND was reached ;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_FollowUpUnmetNeeds;true,false,null;Follow up question - true if the agent has identified that the caller has unmet needs realted to the orginal referrals of this interaction (i.e. wen to referred food back and they were out of food);Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes) AND was reached ;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_CallerReached;true,false,null;Follow up question -select true if the caller was reached on any of the attempts to follow up;Field is only used if the client indicated they wanted a follow up (MayIFollowUpWithYou = Yes);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
