INTERACTION_ID,INTERACTION_CLIENTID,CLIENT_ID,SITE_ID,AGENCY_ID,PROGRAM_ID,SERVICE_ID,TAXONOMY_ID,TAXONOMY_NAME,DATEOFREFERRAL,AGENCY_PARENTID,SITESYSTEM_NAME,AGENCYSYSTEM_NAME,INTERACTIONREFERRAL_ID,AGENCYSYSTEM_PARENTNAME
1404969,20536,20536,28434,16181,None,49843,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION,MILWAUKEE RESCUE MISSION,2125639,MILWAUKEE RESCUE MISSION
1404959,26768,26768,28397,16173,None,49699,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2125629,IMPACT
1404719,35135,35135,34981,21900,None,59049,407761,Food Pantries,None,21900,SOULS HARBOR BAPTIST CHURCH,SOULS HARBOR BAPTIST CHURCH,2125185,SOULS HARBOR BAPTIST CHURCH
1404704,29697,29697,27114,15510,None,46900,407978,Low Income/Subsidized Private Rental Housing,None,15510,UNITED METHODIST CHILDRENS SERVICES,UNITED METHODIST CHILDRENS SERVICES,2125148, AgencySystem_ParentName: ""UNITED METHODIST CHILDRENS SERVICES""
1404702,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2125147,GREAT RIVERS 2-1-1
1404684,31639,31639,30499,16934,None,52237,407882,Community Shelters,None,16934,211 USE - COMMUNITY SHELTER UNMET,211 USE - COMMUNITY SHELTER UNMET,2125105,211 USE - COMMUNITY SHELTER UNMET
1404681,41375,41375,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2125101,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1404680,41375,41375,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2125100,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1404579,32842,32842,28395,16172,None,49690,407761,Food Pantries,None,16172,MILWAUKEE CHRISTIAN CENTER - 14TH STREET,MILWAUKEE CHRISTIAN CENTER,2124901,MILWAUKEE CHRISTIAN CENTER
1404545,26190,26190,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2124837,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1404535,24563,24563,27658,15764,None,52436,411591,Holiday Gifts/Toys,None,15764,SALVATION ARMY DISTRIBUTION CENTER,SALVATION ARMY DIVISIONAL HEADQUARTERS,2124812,SALVATION ARMY DIVISIONAL HEADQUARTERS
1404518,19840,19840,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2124764,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1404510,40712,40712,27013,15469,None,55460,407761,Food Pantries,None,15469,COA YOUTH & FAMILY CENTERS - GOLDIN CENTER,COA YOUTH & FAMILY CENTERS,2124753,COA YOUTH & FAMILY CENTERS
1404497,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2124736,GREAT RIVERS 2-1-1
1404495,34193,34193,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2124733,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1404408,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2124601,IMPACT
1404393,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2124581,IMPACT
1404371,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2124555,GREAT RIVERS 2-1-1
1404353,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2124526,GREAT RIVERS 2-1-1
1404332,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2124503,GREAT RIVERS 2-1-1
1404293,35660,35660,28397,16173,None,49695,414509,211 Systems,None,16173,IMPACT - 211,IMPACT,2124426,IMPACT
1404227,32539,32539,28405,16176,None,49721,410313,Aging and Disability Resource Centers,None,16176,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY - MARCIA P COGGS CENTER,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY,2124294,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF MILWAUKEE COUNTY
1404187,28635,28635,28399,16173,None,49737,412966,Central Intake/Assessment for Alcohol Use Disorder,None,16173,IMPACT - ACCESS POINT,IMPACT,2124491,IMPACT
1404175,42998,42998,37820,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - REPAIRERS OF THE BREACH,IMPACT,2124200,IMPACT
1404024,32944,32944,15684,8597,None,19975,408856,Credit Report Ordering Assistance,None,8597,ANNUAL CREDIT REPORT REQUEST SERVICE,ANNUAL CREDIT REPORT REQUEST SERVICE,2123886,ANNUAL CREDIT REPORT REQUEST SERVICE
1403989,22400,22400,37819,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - ST BENS,IMPACT,2123820,IMPACT
1403970,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2123799,GREAT RIVERS 2-1-1
1403955,2679,2679,None,None,None,None,414477,Directory Assistance,None,None,None, AgencySystem_Name: None,2123764, AgencySystem_ParentName: None
1403865,31847,31847,30499,16934,None,52237,407882,Community Shelters,None,16934,211 USE - COMMUNITY SHELTER UNMET,211 USE - COMMUNITY SHELTER UNMET,2123574,211 USE - COMMUNITY SHELTER UNMET
1403825,20731,20731,37986,22221,None,59876,407761,Food Pantries,None,22221,CITY OF FAITH CHURCH,CITY OF FAITH CHURCH,2123498,CITY OF FAITH CHURCH
1403763,22466,22466,28397,16173,None,55081,121,Housing Related Coordinated Entry,None,16173,IMPACT - 211,IMPACT,2123364,IMPACT
1403713,20964,20964,37819,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - ST BENS,IMPACT,2123257,IMPACT
1403703,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2123236,GREAT RIVERS 2-1-1
1403693,2679,2679,11617,5923,None,26299,409636,GED/High School Equivalency Test Instruction,None,5923,WESTERN TECHNICAL COLLEGE - LA CROSSE LOCATION,WESTERN TECHNICAL COLLEGE,2123222,WESTERN TECHNICAL COLLEGE
1403679,19840,19840,26909,15432,None,46349,407943,Rent Payment Assistance,None,15432,MAXIMUS - CENTURY CITY TOWER,MAXIMUS,2123202,MAXIMUS
1403660,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2123174,IMPACT
1403653,37629,37629,28397,16173,None,49699,413251,Mental Health Crisis Lines,None,16173,IMPACT - 211,IMPACT,2123158,IMPACT
1403651,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2123156,IMPACT
1403603,2843,2843,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2123091,GREAT RIVERS 2-1-1
1403597,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2123087,GREAT RIVERS 2-1-1
1403593,16292,16292,41157,16232,None,55073,413247,General Crisis Intervention Hotlines,None,16232,MILWAUKEE COUNTY BEHAVIORAL HEALTH DIVISION,MILWAUKEE COUNTY BEHAVIORAL HEALTH DIVISION,2123083,MILWAUKEE COUNTY BEHAVIORAL HEALTH DIVISION
1403584,43663,43663,28397,16173,None,55081,121,Housing Related Coordinated Entry,None,16173,IMPACT - 211,IMPACT,2123069,IMPACT
1403577,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2123060,GREAT RIVERS 2-1-1
1403565,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2123037,GREAT RIVERS 2-1-1
1403519,31057,31057,None,None,None,None,407759,Commodity Supplemental Food Program,None,None,None, AgencySystem_Name: None,2122964, AgencySystem_ParentName: None
1403476,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2122911,GREAT RIVERS 2-1-1
1403463,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2122885,GREAT RIVERS 2-1-1
1403383,2670,2670,None,None,None,None,414477,Directory Assistance,None,None,None, AgencySystem_Name: None,2122718, AgencySystem_ParentName: None
1403346,19973,19973,27658,15764,None,52436,411591,Holiday Gifts/Toys,None,15764,SALVATION ARMY DISTRIBUTION CENTER,SALVATION ARMY DIVISIONAL HEADQUARTERS,2122648,SALVATION ARMY DIVISIONAL HEADQUARTERS
1403322,33677,33677,30054,16817,None,52005,407882,Community Shelters,None,16817,FAMILY PROMISE OF WAUKESHA COUNTY,FAMILY PROMISE OF WAUKESHA COUNTY,2122597,FAMILY PROMISE OF WAUKESHA COUNTY
1403286,33654,33654,28193,16016,None,49262,407978,Low Income/Subsidized Private Rental Housing,None,16016,LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN (LSS) - WASHINGTON ST,LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN,2122541,LUTHERAN SOCIAL SERVICES OF WI AND UPPER MICHIGAN
1403282,39232,39232,35084,21965,None,59200,411276,Food Stamps/SNAP Applications,None,21965,FEEDING WISCONSIN,FEEDING WISCONSIN,2122534,FEEDING WISCONSIN
1403248,2882,2882,19239,11219,None,21204,413807,Mental Health Associations,None,11219,NAMI WISCONSIN (NATIONAL ALLIANCE ON MENTAL ILLNESS),NAMI WISCONSIN (NATIONAL ALLIANCE ON MENTAL ILLNESS),2122466,NAMI WISCONSIN (NATIONAL ALLIANCE ON MENTAL ILLNESS)
1403228,41454,41454,None,None,None,None,407884,Homeless Motel Vouchers,None,None,None, AgencySystem_Name: None,2122427, AgencySystem_ParentName: None
1403216,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2122402,IMPACT
1403201,2679,2679,11930,6214,None,27044,408150,Disability Related Transportation,None,6214,LA CROSSE MUNICIPAL TRANSIT UTILITY,LA CROSSE MUNICIPAL TRANSIT UTILITY,2122376,LA CROSSE MUNICIPAL TRANSIT UTILITY
1403179,43663,43663,37819,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - ST BENS,IMPACT,2122348,IMPACT
1403157,28466,28466,28505,16233,None,50074,408046,Refrigerators,None,16233,ST VINCENT DE PAUL SOCIETY - MILWAUKEE,ST VINCENT DE PAUL SOCIETY - MILWAUKEE,2122321,ST VINCENT DE PAUL SOCIETY - MILWAUKEE
1403144,29216,29216,35298,16085,None,49481,407761,Food Pantries,None,16085,ST VINCENT DE PAUL SOCIETY OF RACINE COUNTY - RACINE,ST VINCENT DE PAUL SOCIETY OF RACINE COUNTY,2122305,ST VINCENT DE PAUL SOCIETY OF RACINE COUNTY
1403068,2841,2841,7489,754,None,16319,413251,Mental Health Crisis Lines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2122164,GREAT RIVERS 2-1-1
1402952,22466,22466,None,None,None,None,71,Extreme Cold Warming Centers,None,None,None, AgencySystem_Name: None,2121968, AgencySystem_ParentName: None
1402926,35135,35135,37986,22221,None,59876,407761,Food Pantries,None,22221,CITY OF FAITH CHURCH,CITY OF FAITH CHURCH,2121922,CITY OF FAITH CHURCH
1402915,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121898,GREAT RIVERS 2-1-1
1402852,2890,2890,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121796,GREAT RIVERS 2-1-1
1402851,14855,14855,27081,15492,None,46823,409105,Municipal Police,None,15492,MILWAUKEE POLICE ADMINISTRATION BUILDING,MILWAUKEE POLICE DEPARTMENT,2121795,MILWAUKEE POLICE DEPARTMENT
1402850,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2121794,IMPACT
1402848,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2121789,IMPACT
1402846,37629,37629,20044,11405,None,64435,413132,Talklines/Warmlines,None,11405,CHILDRENS WISCONSIN - MILWAUKEE HOSPITAL,CHILDRENS WISCONSIN - MILWAUKEE HOSPITAL,2121787, AgencySystem_ParentName: ""CHILDRENS WISCONSIN - MILWAUKEE HOSPITAL""
1402836,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2121769,IMPACT
1402798,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121714,GREAT RIVERS 2-1-1
1402797,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121713,GREAT RIVERS 2-1-1
1402775,15978,15978,28397,16173,None,55081,121,Housing Related Coordinated Entry,None,16173,IMPACT - 211,IMPACT,2121685,IMPACT
1402773,2670,2670,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121683,GREAT RIVERS 2-1-1
1402763,2702,2702,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121658,GREAT RIVERS 2-1-1
1402762,26556,26556,27658,15764,None,52436,411591,Holiday Gifts/Toys,None,15764,SALVATION ARMY DISTRIBUTION CENTER,SALVATION ARMY DIVISIONAL HEADQUARTERS,2121655,SALVATION ARMY DIVISIONAL HEADQUARTERS
1402751,2679,2679,37424,23549,None,64316,121,Housing Related Coordinated Entry,None,23549,REACH SERVICES AND RESOURCE CENTER,REACH SERVICES AND RESOURCE CENTER,2121637,REACH SERVICES AND RESOURCE CENTER
1402714,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121569,GREAT RIVERS 2-1-1
1402641,41925,41925,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2121457,MILWAUKEE RESCUE MISSION
1402639,1688,1688,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121455,GREAT RIVERS 2-1-1
1402616,28188,28188,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2121415,MILWAUKEE RESCUE MISSION
1402574,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121361,GREAT RIVERS 2-1-1
1402554,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2121329,IMPACT
1402522,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121284,GREAT RIVERS 2-1-1
1402519,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121281,GREAT RIVERS 2-1-1
1402515,2843,2843,,,,,,,,,,,,
1402492,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121235,GREAT RIVERS 2-1-1
1402466,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121180,GREAT RIVERS 2-1-1
1402432,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2121133,IMPACT
1402417,20964,20964,28397,16173,None,55061,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2121099,IMPACT
1402393,39322,39322,None,None,None,None,407761,Food Pantries,None,None,None, AgencySystem_Name: None,2121070, AgencySystem_ParentName: None
1402381,2702,2702,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2121046,GREAT RIVERS 2-1-1
1402353,22350,22350,20039,11403,None,22978,411232,EBT Card Services,None,11403,WISCONSIN DEPARTMENT OF HEALTH SERVICES - DIVISION OF HEALTH CARE ACCESS AND ACCOUNTABILITY,WISCONSIN DEPARTMENT OF HEALTH SERVICES - DIVISION OF MEDICAID SERVICES,2120992,WISCONSIN DEPARTMENT OF HEALTH SERVICES - DIVISION OF MEDICAID SERVICES
1402352,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120991,GREAT RIVERS 2-1-1
1402313,20749,20749,37820,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - REPAIRERS OF THE BREACH,IMPACT,2120934,IMPACT
1402310,2843,2843,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120931,GREAT RIVERS 2-1-1
1402305,20840,20840,27227,15536,None,47132,407761,Food Pantries,None,15536,FRIEDENS COMMUNITY MINISTRIES - DESPENSA DE LA PAZ,FRIEDENS COMMUNITY MINISTRIES,2120923,FRIEDENS COMMUNITY MINISTRIES
1402295,2670,2670,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120903,GREAT RIVERS 2-1-1
1402274,26507,26507,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2120871,IMPACT
1402270,2841,2841,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120867,GREAT RIVERS 2-1-1
1402269,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2120866,IMPACT
1402258,2890,2890,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120850,GREAT RIVERS 2-1-1
1402251,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2120842,IMPACT
1402215,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120800,GREAT RIVERS 2-1-1
1402214,2844,2844,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120799,GREAT RIVERS 2-1-1
1402209,36267,36267,28397,16173,None,55061,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2120793,IMPACT
1402207,36267,36267,28397,16173,None,55061,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2120791,IMPACT
1402196,37323,37323,37415,23548,None,64311,408156,Non-Emergency Medical Transportation,None,23548,VEYO,VEYO,2120770,VEYO
1402188,2843,2843,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120753,GREAT RIVERS 2-1-1
1402174,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120737,GREAT RIVERS 2-1-1
1402165,1688,1688,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120719,GREAT RIVERS 2-1-1
1402149,22475,22475,20039,11403,None,22978,411232,EBT Card Services,None,11403,WISCONSIN DEPARTMENT OF HEALTH SERVICES - DIVISION OF HEALTH CARE ACCESS AND ACCOUNTABILITY,WISCONSIN DEPARTMENT OF HEALTH SERVICES - DIVISION OF MEDICAID SERVICES,2120699,WISCONSIN DEPARTMENT OF HEALTH SERVICES - DIVISION OF MEDICAID SERVICES
1402104,36954,36954,27182,15522,None,47053,408083,General Clothing Provision,None,15522,PATHFINDERS - HOLTON ST,PATHFINDERS,2120626,PATHFINDERS
1402091,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120595,GREAT RIVERS 2-1-1
1402080,36954,36954,29058,16589,None,51210,408016,Beds,None,16589,JBS FURNITURE,JBS FURNITURE,2120575, AgencySystem_ParentName: ""JBS FURNITURE""
1402075,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120565,GREAT RIVERS 2-1-1
1402057,30037,30037,37819,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - ST BENS,IMPACT,2120541,IMPACT
1402015,29756,29756,12678,2050,None,19633,408263,Telephone Service Payment Assistance,None,2050,PUBLIC SERVICE COMMISSION OF WISCONSIN,PUBLIC SERVICE COMMISSION OF WISCONSIN,2120467,PUBLIC SERVICE COMMISSION OF WISCONSIN
1401949,24168,24168,28240,16054,None,83286,411276,Food Stamps/SNAP Applications,None,16054,RACINE COUNTY HUMAN SERVICES DEPARTMENT - DENNIS KORNWOLF SERVICE CENTER,RACINE COUNTY HUMAN SERVICES DEPARTMENT,2120339,RACINE COUNTY HUMAN SERVICES DEPARTMENT
1401918,20731,20731,27227,15536,None,47132,407761,Food Pantries,None,15536,FRIEDENS COMMUNITY MINISTRIES - DESPENSA DE LA PAZ,FRIEDENS COMMUNITY MINISTRIES,2120273,FRIEDENS COMMUNITY MINISTRIES
1401897,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2120241,GREAT RIVERS 2-1-1
1401859,16008,16008,27683,15784,None,48019,407863,Soup Kitchens,None,15784,ST BENS,CAPUCHIN COMMUNITY SERVICES,2120174,CAPUCHIN COMMUNITY SERVICES
1401813,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2120112,IMPACT
